client_id,code,nom,type_commerce,ville,province,code_postal,segment,conditions_paiement,courriel,date_ouverture,fiches_fusionnees
176,CLI-0030,Le Refuge Beauport Outaouais,Chaîne régionale,Lévis,QC,K6E 4N6,C,Net 45,achats@lerefugebeauportoutaouais.ca,2019-06-13,1
177,CLI-0098,Cap Nord Gaspésie,Coopérative de plein air,Drummondville,QC,J7S 7V5,C,Net 45,achats@capnordgaspesie.ca,2017-01-16,1
178,CLI-0052,Chalet Lachine Cantons,Détaillant indépendant,North Bay,ON,K8M 0X1,B,Net 30,achats@chaletlachinecantons.ca,2021-10-08,1
179,CLI-0156,Aventure ltée,Détaillant indépendant,Bathurst,NB,H2Y 5K2,C,Net 30,achats@aventureltee.ca,2017-07-14,1
180,CLI-0144,Chalet Rosemont Outaouais,Chaîne régionale,Québec,QC,K0P 6R8,B,Net 45,achats@chaletrosemontoutaouais.ca,2022-01-12,1
181,CLI-0012,Randonneurs Appalaches,Chaîne régionale,Sept-Îles,QC,J1J 1V0,A,Net 30,achats@randonneursappalaches.ca,2020-05-17,1
182,CLI-0155,Sentiers Appalaches,Détaillant indépendant,Sept-Îles,QC,N5R 5C3,B,Net 30,achats@sentiersappalaches.ca,2020-04-23,1
183,CLI-0095,Nature Chicoutimi Appalaches,Boutique en ligne,Rouyn-Noranda,QC,L7C 5L1,C,Net 30,achats@naturechicoutimiappalaches.ca,2018-11-18,1
184,CLI-0017,Le Portage Saint-Laurent,Boutique en ligne,Drummondville,QC,G9V 8Y0,B,Net 30,achats@leportagesaint-laurent.ca,2019-11-12,1
185,CLI-0201,Base Camp Sainte-Foy Enr.,Coopérative de plein air,Kingston,ON,L7X 7K9,C,Net 30,achats@basecampsainte-foyenr.ca,2023-10-19,1
186,CLI-0163,Nature Longueuil Mauricie,Boutique en ligne,Sherbrooke,QC,L3R 3C5,C,Net 60,achats@naturelongueuilmauricie.ca,2022-02-10,1
187,CLI-0038,Sports Sillery Charlevoix,Boutique en ligne,Montréal,QC,K7M 2H0,B,Net 60,achats@sportssillerycharlevoix.ca,2020-11-11,1
188,CLI-0125,Nature inc.,Chaîne régionale,Gatineau,QC,J4M 2P9,C,Net 45,achats@natureinc.ca,2020-07-22,1
189,CLI-0127,Chalet Abitibi,Boutique en ligne,Sept-Îles,QC,N8P 7X0,B,Net 45,,2018-04-13,1
190,CLI-0002,Nature Enr.,Chaîne régionale,Thunder Bay,ON,N8K 4P7,C,Net 30,achats@natureenr.ca,2017-03-01,1
191,CLI-0202,Le Refuge Mauricie,Chaîne régionale,Victoriaville,QC,H6V 5S6,C,Net 45,,2020-12-25,1
192,CLI-0035,Randonneurs Mauricie,Détaillant indépendant,Saint-Jean-sur-Richelieu,QC,R2R 9R6,B,Net 45,achats@randonneursmauricie.ca,2023-04-29,1
193,CLI-0181,Sentiers Lachine Gaspésie,Détaillant indépendant,Sudbury,ON,J8R 0P0,C,Net 60,achats@sentierslachinegaspesie.ca,2016-06-28,1
194,CLI-0076,Coopérative Cantons,Boutique en ligne,Baie-Comeau,QC,K6M 1L9,A,Net 30,achats@cooperativecantons.ca,2023-05-20,1
195,CLI-0033,Le Portage et Fils,Boutique en ligne,Baie-Comeau,QC,N1J 2P5,B,Net 60,achats@leportageetfils.ca,2022-11-07,1
196,CLI-0212,Grand Air Rosemont Mauricie,Chaîne régionale,Rouyn-Noranda,QC,N2H 6R1,A,Net 30,achats@grandairrosemontmauricie.ca,2018-02-24,1
197,CLI-0024,Randonneurs Outaouais,Chaîne régionale,Granby,QC,R5B 6N6,C,Net 30,achats@randonneursoutaouais.ca,2019-04-09,1
198,CLI-0114,Expédition Saint-Laurent,Coopérative de plein air,Lévis,QC,K7P 9Y7,C,Net 30,achats@expeditionsaint-laurent.ca,2020-05-28,1
199,CLI-0063,Plein Air Gaspésie,Détaillant indépendant,Granby,QC,J4X 0S3,B,Net 60,achats@pleinairgaspesie.ca,2022-06-30,1
200,CLI-0102,Nature du Nord,Détaillant indépendant,Montréal,QC,M5J 4X8,C,Net 30,achats@naturedunord.ca,2020-09-17,2
201,CLI-0205,Coopérative Boréal,Boutique en ligne,Val-d'Or,QC,L5V 5A2,C,Net 45,achats@cooperativeboreal.ca,2016-02-01,1
202,CLI-0097,Randonneurs Sainte-Foy Outaouais,Chaîne régionale,Baie-Comeau,QC,L4L 4R0,C,Net 45,achats@randonneurssainte-foyoutaouais.ca,2017-10-07,1
203,CLI-0137,Le Refuge Cantons,Détaillant indépendant,Charlottetown,PE,N9X 3E5,A,Net 30,achats@lerefugecantons.ca,2016-10-17,1
204,CLI-0148,Cap Nord Vaudreuil Laurentides,Chaîne régionale,Gatineau,QC,L8S 7T4,B,Net 45,achats@capnordvaudreuillaurentides.ca,2023-10-22,1
205,CLI-0020,Boutique du Nord,Chaîne régionale,Halifax,NS,M4N 1H9,C,Net 45,achats@boutiquedunord.ca,2019-10-25,1
206,CLI-0103,Boutique Boucherville ltée,Coopérative de plein air,Moncton,NB,M6G 1V5,C,Net 30,achats@boutiquebouchervilleltee.ca,2019-09-12,1
207,CLI-0197,Plein Air Brossard Gaspésie,Coopérative de plein air,Saguenay,QC,R3Y 9H5,C,Net 60,achats@pleinairbrossardgaspesie.ca,2021-11-27,1
208,CLI-0004,Aventure Gaspésie,Détaillant indépendant,Trois-Rivières,QC,J7A 9X2,C,Net 30,achats@aventuregaspesie.ca,2016-06-20,1
209,CLI-0036,Randonneurs Charlevoix,Coopérative de plein air,Sept-Îles,QC,J7L 3G4,B,Net 60,achats@randonneurscharlevoix.ca,2016-11-08,1
210,CLI-0029,Sentiers Boréal,Détaillant indépendant,Baie-Comeau,QC,M8V 8P5,A,Net 60,achats@sentiersboreal.ca,2019-12-02,1
211,CLI-0093,Randonneurs Brossard Appalaches,Chaîne régionale,Trois-Rivières,QC,K1N 4V0,B,Net 60,achats@randonneursbrossardappalaches.ca,2023-08-26,1
212,CLI-0208,Plein Air Verdun Mauricie,Boutique en ligne,Rimouski,QC,,B,Net 30,achats@pleinairverdunmauricie.ca,2019-02-21,1
213,CLI-0214,Le Portage Jonquière Outaouais,Chaîne régionale,Halifax,NS,G4A 3H7,C,Net 45,achats@leportagejonquiereoutaouais.ca,2016-09-16,1
214,CLI-0074,Randonneurs et Fils,Chaîne régionale,Saguenay,QC,G1Y 2T6,A,Net 30,achats@randonneursetfils.ca,2017-10-28,1
215,CLI-0034,Sentiers Mauricie,Chaîne régionale,North Bay,ON,L1G 0H8,B,Net 60,achats@sentiersmauricie.ca,2020-03-09,1
216,CLI-0107,Le Refuge Appalaches,Chaîne régionale,Granby,QC,R9J 6M4,C,Net 45,achats@lerefugeappalaches.ca,2018-03-28,1
217,CLI-0121,Le Refuge Laurentides,Chaîne régionale,Saguenay,QC,N0K 6A1,B,Net 45,achats@lerefugelaurentides.ca,2018-04-15,1
218,CLI-0059,Coopérative Saint-Hubert Saint-Laurent,Détaillant indépendant,Rouyn-Noranda,QC,M5E 2E8,A,Net 30,achats@cooperativesaint-hubertsaint-laurent.ca,2019-05-29,1
219,CLI-0079,Base Camp Jonquière inc.,Détaillant indépendant,Drummondville,QC,H1T 1R7,C,Net 30,achats@basecampjonquiereinc.ca,2018-12-25,1
220,CLI-0061,Plein Air Cantons,Coopérative de plein air,Drummondville,QC,K4B 5R6,B,Net 30,achats@pleinaircantons.ca,2017-12-04,1
