Mois;Categorie;Entrepot;Montant
06/2025;assurances;ENT-QC;1886,23
10/2024;FOURNITURES DE BUREAU;ENT-QC;579,74
01/2025;FOURNITURES DE BUREAU;ENT-SAG;335,20
11/2024;LOYER;ENT-QC;14200,00
08/2024;Télécommunications;ENT-MTL;818,98
06/2024;TRANSPORT ET LIVRAISON;ENT-MTL;14563,23
12/2025;Fournitures de bureau;ENT-SAG;337,86
09/2024;LOYER;ENT-MTL;21500,00
09/2024;transport et livraison;ENT-QC;16383,67
06/2024;FOURNITURES DE BUREAU;ENT-QC;470,65
08/2024;fournitures de bureau;ENT-QC;573,54
10/2024;loyer;ENT-QC;14200,00
08/2025;honoraires professionnels;ENT-QC;3427,29
01/2024;assurances;ENT-QC;1879,74
07/2025;FOURNITURES DE BUREAU;ENT-QC;630,09
10/2025;TÉLÉCOMMUNICATIONS;ENT-MTL;837,90
08/2025;fournitures de bureau;ENT-SAG;364,55
11/2024;Assurances;ENT-MTL;2419,94
03/2025;honoraires professionnels;ENT-QC;2920,11
02/2025;Énergie;ENT-SAG;2138,15
11/2024;Logiciels et TI;ENT-QC;3067,26
11/2025;Énergie;ENT-MTL;3992,68
05/2025;Télécommunications;ENT-QC;625,77
04/2025;Fournitures de bureau;ENT-QC;555,17
08/2025;énergie;ENT-MTL;3912,92
11/2025;Énergie;ENT-QC;3199,93
10/2025;énergie;ENT-QC;2987,64
05/2025;TRANSPORT ET LIVRAISON;ENT-MTL;17466,03
06/2024;ASSURANCES;ENT-MTL;2392,61
09/2025;entretien et réparations;ENT-MTL;1798,83
02/2025;ASSURANCES;ENT-SAG;1241,59
09/2024;LOGICIELS ET TI;ENT-QC;3159,37
12/2025;LOYER;ENT-QC;14682,80
03/2024;loyer;ENT-QC;14200,00
08/2025;énergie;ENT-SAG;2476,14
11/2024;transport et livraison;ENT-QC;13326,28
03/2025;Transport et livraison;ENT-SAG;4144,26
08/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;951,75
09/2024;Fournitures de bureau;ENT-QC;573,24
03/2024;fournitures de bureau;ENT-QC;505,16
12/2025;TÉLÉCOMMUNICATIONS;ENT-SAG;419,33
