NO COMMANDE;DATE COMMANDE;DATE LIVRAISON;DATE PAIEMENT;CODE CLIENT;REPRESENTANT;ENTREPOT;CODE ARTICLE;QTE;PRIX UNITAIRE;REMISE %;COUT UNITAIRE;CANAL DE VENTE
CMD-100174;21/02/2024;01/03/2024;20/04/2024;CLI-0212;EMP-507;ENT-MTL;BD-1159;19;229,51;20,60;166,16;Portail web
CMD-100944;15/06/2024;2024-06-20;12/07/2024;CLI-0113;EMP-505;ENT-MTL;BD-1171;6;147,60;6,80;83,70;Représentant
CMD-102026;04/11/2024;10/11/2024;24/12/2024;CLI-0053;EMP-509;ENT-MTL;BD-1131;3;58,51;12,70;36,32;Représentant
CMD-100198;26/02/2024;2024-03-04;08/04/2024;CLI-0074;EMP-507;ENT-QC;BD-1116;20;67,73;23,60;58,93;Téléphone
CMD-100166;17/02/2024;2024-02-25;13/03/2024;CLI-0137;EMP-503;ENT-QC;BD-1098;4;353,76;19,80;257,11;Portail web
CMD-100532;2024-04-19;27/04/2024;13/05/2024;CLI-0123;EMP-501;ENT-MTL;BD-1050;4;443,32;12,10;291,69;Représentant
CMD-102227;03/12/2024;05/12/2024;2025-01-16;CLI-0108;EMP-503;ENT-MTL;BD-1136;12;180,73;13,00;110,14;Téléphone
CMD-101076;05/07/2024;2024-07-08;05/08/2024;CLI-0062;EMP-507;ENT-MTL;BD-9071;1;215,53;16,80;166,12;Représentant
CMD-100538;20-avr-24;23/04/2024;18/06/2024;CLI-0109;EMP-501;ENT-MTL;BD-1052;3;289,35;5,80;179,27;Téléphone
CMD-101159;24/07/2024;01/08/2024;2024-09-14;CLI-0137;EMP-503;ENT-MTL;BD-1103;6;183,33;19,50;151,66;Salon
CMD-101313;15/08/2024;20/08/2024;2024-09-15;CLI-0197;EMP-507;ENT-QC;BD-1133;2;94,93;6,40;61,66;Téléphone
CMD-100980;20/06/2024;2024-06-27;13/07/2024;CLI-0048;EMP-508;ENT-MTL;BD-1044;1;288,56;10,70;195,45;Portail web
CMD-101182;30-juil-24;07/08/2024;25/08/2024;CLI-0099;EMP-505;ENT-QC;BD-1058;3;192,02;21,60;146,46;Portail web
CMD-100338;22/03/2024;2024-03-29;14/04/2024;CLI-0220;EMP-506;ENT-SAG;BD-1019;12;260,20;13,60;170,21;Représentant
CMD-102097;14/11/2024;2024-11-23;19/12/2024;CLI-0037;EMP-504;ENT-SAG;BD-1146;24;297,96;20,70;220,88;Représentant
CMD-102115;16-nov-24;18/11/2024;06/12/2024;CLI-0218;EMP-503;ENT-SAG;BD-1065;2;237,93;4,60;128,81;Représentant
CMD-101899;18/10/2024;27/10/2024;2024-11-28;CLI-0174;EMP-502;ENT-QC;BD-1083;3;292,75;4,70;157,14;Représentant
CMD-101511;09/09/2024;13-sept-24;02/11/2024;CLI-0040;EMP-509;ENT-SAG;BD-1074;8;165,73;14,60;108,27;Représentant
CMD-101551;11/09/2024;2024-09-19;22/10/2024;CLI-0059;EMP-504;ENT-MTL;BD-1069;35;321,46;19,40;198,50;Représentant
CMD-100288;14/03/2024;2024-03-20;25/04/2024;CLI-0156;EMP-502;ENT-QC;BD-1150;8;606,72;3,10;339,92;Représentant
CMD-101522;10/09/2024;2024-09-13;02/10/2024;CLI-0128;EMP-502;ENT-SAG;BD-1158;1;308,01;11,90;180,81;Représentant
CMD-101202;01/08/2024;05/08/2024;2024-08-28;CLI-0127;EMP-503;ENT-MTL;BD-1038;4;482,09;12,60;313,36;Représentant
CMD-101851;14/10/2024;2024-10-17;18/11/2024;CLI-0118;EMP-504;ENT-SAG;BD-1079;4;236,93;10,20;144,83;Portail web
CMD-101586;14/09/2024;23/09/2024;2024-10-23;CLI-0099;EMP-505;ENT-QC;BD-1122;70;268,90;21,20;208,30;Portail web
CMD-100144;12/02/2024;18/02/2024;;CLI-0084;EMP-503;ENT-SAG;BD-1144;2;159,60;10,60;96,31;Salon
CMD-101539;11/09/2024;18/09/2024;21-oct-24;CLI-0208;EMP-507;ENT-QC;BD-1171;8;141,55;10,60;83,70;Courriel
CMD-100580;27/04/2024;2024-05-01;30/05/2024;CLI-0130;EMP-508;ENT-MTL;BD-1043;33;415,67;21,20;294,10;Représentant
CMD-101431;30/08/2024;07/09/2024;13-oct-24;CLI-0099;EMP-505;ENT-MTL;BD-1034;18;176,11;25,90;151,89;Portail web
CMD-102253;10/12/2024;15/12/2024;2025-01-12;CLI-0029;EMP-506;ENT-QC;BD-1140;9;48,38;23,80;40,41;Représentant
CMD-101511;09/09/2024;2024-09-13;02/11/2024;CLI-0040;EMP-509;ENT-SAG;BD-1069;6;340,37;14,60;198,50;Salon
CMD-101292;13/08/2024;21/08/2024;2024-10-03;CLI-0042;EMP-505;ENT-QC;BD-1053;8;280,07;14,40;176,84;Téléphone
CMD-100778;23/05/2024;26/05/2024;2024-06-21;CLI-0102;EMP-506;ENT-MTL;BD-1038;12;528,08;4,30;313,36;
CMD-100003;01/01/2024;2024-01-06;07/02/2024;CLI-0077;EMP-501;ENT-SAG;BD-1044;8;309,26;4,30;195,45;Téléphone
CMD-101994;30/10/2024;03/11/2024;2024-11-26;CLI-0097;EMP-504;ENT-MTL;BD-1072;4;366,05;7,50;196,62;Représentant
CMD-102247;09-déc-24;16/12/2024;04/01/2025;CLI-0082;EMP-504;ENT-MTL;BD-1131;24;65,04;3,00;36,32;Portail web
CMD-101871;2024-10-16;25/10/2024;29/11/2024;CLI-0095;EMP-505;ENT-MTL;BD-1083;4;299,32;2,60;157,14;Représentant
CMD-101896;18/10/2024;23-oct-24;21/12/2024;CLI-0143;EMP-503;ENT-MTL;BD-1174;2;257,69;12,70;165,53;Courriel
CMD-102249;09/12/2024;11/12/2024;04-janv-25;CLI-0144;EMP-502;ENT-MTL;BD-1091;3;478,83;15,70;279,07;Représentant
CMD-101162;26/07/2024;30/07/2024;20/09/2024;CLI-0132;EMP-507;ENT-MTL;BD-1131;3;56,76;15,30;36,32;Téléphone
CMD-101312;15/08/2024;24/08/2024;24-sept-24;CLI-0191;EMP-504;ENT-MTL;BD-1038;2;493,42;10,60;313,36;Représentant
CMD-100703;14/05/2024;2024-05-20;16/06/2024;CLI-0076;EMP-507;ENT-QC;BD-1026;16;324,96;25,90;241,74;Courriel
CMD-101482;04/09/2024;06/09/2024;2024-10-31;CLI-0056;EMP-502;ENT-QC;BD-1131;18;52,47;21,70;36,32;Représentant
CMD-102094;13/11/2024;2024-11-16;26/12/2024;CLI-0089;EMP-502;ENT-QC;BD-1032;5;441,07;19,40;339,97;Représentant
CMD-100813;29/05/2024;2024-06-05;13/07/2024;CLI-0052;EMP-504;ENT-QC;BD-1017;2;487,91;13,50;307,26;Représentant
CMD-101585;13/09/2024;21/09/2024;10/10/2024;CLI-0130;EMP-508;ENT-QC;BD-1075;25;80,98;19,60;59,74;Représentant
CMD-101782;04/10/2024;2024-10-07;23/11/2024;CLI-0027;EMP-502;ENT-MTL;BD-1130;6;524,73;7,00;317,23;Téléphone
CMD-101955;25-oct-24;27/10/2024;09/12/2024;CLI-0020;EMP-508;ENT-QC;BD-1144;1;162,55;8,90;96,31;Représentant
CMD-102197;2024-11-28;07/12/2024;28/12/2024;CLI-0037;EMP-504;ENT-SAG;BD-1067;9;33,68;19,00;23,77;Représentant
CMD-101126;19/07/2024;24/07/2024;01-oct-24;CLI-0016;EMP-505;ENT-MTL;BD-1045;6;124,77;4,80;76,76;Téléphone
CMD-101348;20/08/2024;22/08/2024;2024-09-06;CLI-0176;EMP-503;ENT-MTL;BD-1001;12;313,62;6,40;182,30;Représentant
CMD-102000;31/10/2024;06/11/2024;2024-12-22;CLI-0046;EMP-508;ENT-QC;BD-1153;12;189,34;5,60;113,61;Représentant
CMD-101918;2024-10-21;26/10/2024;11/11/2024;CLI-0137;EMP-503;ENT-QC;BD-1153;8;159,21;20,60;113,61;Portail web
CMD-101218;03/08/2024;06-août-24;28/09/2024;CLI-0091;EMP-504;ENT-SAG;BD-1001;1;307,93;8,10;182,30;Courriel
CMD-100929;13-juin-24;21/06/2024;04/07/2024;CLI-0185;EMP-508;ENT-MTL;BD-1116;10;66,11;25,40;58,93;Portail web
CMD-101348;20/08/2024;22/08/2024;06/09/2024;CLI-0176;EMP-503;ENT-MTL;BD-1036;2;240,23;6,40;159,06;Représentant
CMD-101797;07/10/2024;09/10/2024;29-oct-24;CLI-0034;EMP-507;ENT-QC;BD-1012;12;106,34;12,60;68,19;Représentant
CMD-100106;2024-02-01;03/02/2024;21/02/2024;CLI-0118;EMP-504;ENT-SAG;BD-1160;4;66,74;15,30;40,71;Représentant
CMD-101649;23/09/2024;28/09/2024;2024-11-11;CLI-0209;EMP-508;ENT-SAG;BD-1098;3;340,37;22,80;257,11;Représentant
CMD-100892;10/06/2024;13/06/2024;2024-07-18;CLI-0198;EMP-504;ENT-QC;BD-1037;8;27,97;6,50;16,31;Téléphone
CMD-100274;12/03/2024;16-mars-24;09/05/2024;CLI-0110;EMP-507;ENT-SAG;BD-1008;2;219,81;6,00;128,94;Salon
CMD-101765;03/10/2024;12/10/2024;2024-11-01;CLI-0012;EMP-501;ENT-MTL;BD-1008;4;182,28;22,10;128,94;Portail web
CMD-102069;09/11/2024;17-nov-24;27/12/2024;CLI-0009;EMP-502;ENT-QC;BD-1088;7;492,13;21,90;335,85;Représentant
CMD-100177;21-févr-24;27/02/2024;24/03/2024;CLI-0130;EMP-508;ENT-QC;BD-1095;4;83,39;19,60;53,64;Téléphone
CMD-100996;25/06/2024;03-juil-24;05/09/2024;CLI-0173;EMP-508;ENT-QC;BD-1017;2;501,00;11,10;307,26;Courriel
CMD-100119;05/02/2024;13/02/2024;2024-02-21;CLI-0175;EMP-505;ENT-MTL;BD-1118;12;483,45;2,70;336,11;Représentant
CMD-101166;26/07/2024;29-juil-24;05/09/2024;CLI-0189;EMP-501;ENT-SAG;BD-1119;4;84,90;7,50;58,44;Représentant
CMD-100684;13/05/2024;19/05/2024;2024-06-29;CLI-0139;EMP-506;ENT-SAG;BD-1057;8;24,86;16,70;19,26;Représentant
CMD-100956;18/06/2024;23/06/2024;2024-07-16;CLI-0074;EMP-507;ENT-MTL;BD-1130;6;426,35;24,50;317,23;Téléphone
CMD-100124;2024-02-06;12/02/2024;26/03/2024;CLI-0037;EMP-504;ENT-MTL;BD-1039;11;156,01;21,20;119,66;Représentant
CMD-101732;01/10/2024;2024-10-08;27/10/2024;CLI-0128;EMP-502;ENT-MTL;BD-1066;6;286,77;16,80;199,26;Téléphone
CMD-102280;2024-12-17;24/12/2024;24/01/2025;CLI-0148;EMP-501;ENT-MTL;BD-1177;12;361,31;11,40;211,22;Représentant
CMD-101283;12/08/2024;15/08/2024;07/09/2024;CLI-0188;EMP-506;ENT-SAG;BD-1078;12;330,53;13,80;197,64;Portail web
CMD-100283;13/03/2024;16/03/2024;2024-05-10;CLI-0017;EMP-507;ENT-SAG;BD-1123;2;187,44;13,80;129,56;Téléphone
CMD-102060;08/11/2024;14/11/2024;2025-01-07;CLI-0185;EMP-508;ENT-MTL;BD-1069;21;318,39;20,20;198,50;Représentant
CMD-101857;15/10/2024;19/10/2024;2024-11-10;CLI-0207;EMP-501;ENT-QC;BD-1011;3;496,63;5,40;288,46;Téléphone
CMD-101910;21/10/2024;30/10/2024;13-nov-24;CLI-0169;EMP-507;ENT-MTL;BD-1168;1;337,93;15,50;224,71;Téléphone
CMD-100298;15/03/2024;2024-03-23;06/04/2024;CLI-0082;EMP-504;ENT-MTL;BD-1129;2;66,21;7,90;45,49;Représentant
CMD-101719;30/09/2024;2024-10-04;11/11/2024;CLI-0012;EMP-501;ENT-MTL;BD-1006;6;273,75;18,20;178,72;Représentant
CMD-101977;29/10/2024;2024-11-07;31/12/2024;CLI-0076;EMP-507;ENT-MTL;BD-1100;40;420,80;21,60;306,44;Représentant
CMD-100253;08/03/2024;17/03/2024;30-avr-24;CLI-0029;EMP-506;ENT-SAG;BD-1021;2;291,59;19,80;201,55;Téléphone
CMD-100669;09/05/2024;18/05/2024;;CLI-0045;EMP-502;ENT-MTL;BD-1113;24;368,68;13,70;276,01;Représentant
CMD-101079;06/07/2024;14-juil-24;14/08/2024;CLI-0166;EMP-503;ENT-MTL;BD-1107;1;195,67;11,20;147,44;Portail web
CMD-102276;16/12/2024;25/12/2024;2025-02-02;CLI-0022;EMP-506;ENT-MTL;BD-1098;4;432,01;2,00;257,11;Courriel
CMD-101586;14/09/2024;23/09/2024;2024-10-23;CLI-0099;EMP-505;ENT-QC;BD-1036;8;202,36;21,20;159,06;Téléphone
CMD-100253;08/03/2024;17/03/2024;2024-04-30;CLI-0029;EMP-506;ENT-SAG;BD-1167;20;297,61;19,80;205,42;Portail web
CMD-101647;21/09/2024;28-sept-24;13/11/2024;CLI-0056;EMP-502;ENT-MTL;BD-1115;10;56,21;24,70;46,26;Représentant
CMD-101388;26-août-24;28/08/2024;17/10/2024;CLI-0163;EMP-505;ENT-QC;BD-1049;4;53,23;2,60;30,58;Représentant
CMD-102280;17/12/2024;24-déc-24;24/01/2025;CLI-0148;EMP-501;ENT-MTL;BD-1164;2;172,82;11,40;98,38;Représentant
CMD-100761;2024-05-21;25/05/2024;30/06/2024;CLI-0012;EMP-501;ENT-QC;BD-1125;6;346,71;21,20;285,25;Représentant
CMD-101094;2024-07-10;14/07/2024;16/08/2024;CLI-0111;EMP-507;ENT-QC;BD-1010;2;154,14;5,40;87,08;Représentant
CMD-101267;09/08/2024;18/08/2024;24/09/2024;CLI-0199;EMP-504;ENT-QC;BD-1024;6;288,96;13,50;185,46;Représentant
CMD-101077;05/07/2024;12/07/2024;2024-08-18;CLI-0012;EMP-501;ENT-SAG;BD-1101;64;83,89;22,70;62,94;Portail web
CMD-100687;2024-05-13;19/05/2024;19/06/2024;CLI-0157;EMP-502;ENT-SAG;BD-1026;1;388,83;11,30;241,74;Téléphone
CMD-101475;04/09/2024;06/09/2024;27/09/2024;CLI-0212;EMP-507;ENT-MTL;BD-1065;20;186,46;25,20;128,81;Représentant
CMD-100732;17/05/2024;20/05/2024;2024-06-20;CLI-0174;EMP-502;ENT-QC;BD-1145;4;175,66;4,60;108,83;Téléphone
CMD-100879;2024-06-07;15/06/2024;12/07/2024;CLI-0001;EMP-508;ENT-QC;BD-1054;4;428,00;8,10;257,53;Téléphone
CMD-100914;12/06/2024;15-juin-24;12/07/2024;CLI-0079;EMP-509;ENT-MTL;BD-1026;1;413,58;5,60;241,74;Représentant
CMD-100013;2024-01-04;12/01/2024;11/02/2024;CLI-0142;EMP-508;ENT-MTL;BD-1070;8;71,73;5,90;39,88;Représentant
CMD-100522;18/04/2024;2024-04-25;26/05/2024;CLI-0176;EMP-503;ENT-MTL;BD-1032;4;515,17;5,90;339,97;Représentant
CMD-101688;26/09/2024;02/10/2024;2024-10-07;CLI-0217;EMP-506;ENT-MTL;BD-1066;71;265,06;23,10;199,26;Courriel
CMD-101526;10/09/2024;16/09/2024;2024-10-22;CLI-0029;EMP-506;ENT-QC;BD-1171;9;118,31;25,30;83,70;Représentant
CMD-100497;15-avr-24;20/04/2024;10/06/2024;CLI-0009;EMP-502;ENT-SAG;BD-1045;3;99,73;23,90;76,76;Téléphone
CMD-100548;22/04/2024;30/04/2024;01/06/2024;CLI-0007;EMP-508;ENT-MTL;BD-1042;6;415,12;5,90;261,53;Téléphone
CMD-100886;07-juin-24;09/06/2024;02/07/2024;CLI-0130;EMP-508;ENT-QC;BD-1061;12;89,19;24,50;75,23;Portail web
CMD-100702;2024-05-14;23/05/2024;25/06/2024;CLI-0082;EMP-504;ENT-QC;BD-1172;3;385,63;7,90;216,67;Courriel
CMD-101724;30-sept-24;06/10/2024;06/11/2024;CLI-0181;EMP-504;ENT-QC;BD-1037;2;27,74;7,30;16,31;Téléphone
CMD-102121;2024-11-18;26/11/2024;15/12/2024;CLI-0150;EMP-502;ENT-MTL;BD-1069;8;378,27;5,10;198,50;Portail web
CMD-101732;01/10/2024;08-oct-24;27/10/2024;CLI-0128;EMP-502;ENT-MTL;BD-1127;4;250,80;16,80;170,72;Téléphone
CMD-101304;2024-08-14;21/08/2024;29/09/2024;CLI-0012;EMP-501;ENT-MTL;BD-1165;29;148,73;19,20;105,70;Portail web
CMD-101482;04/09/2024;2024-09-06;31/10/2024;CLI-0056;EMP-502;ENT-QC;BD-1077;17;267,59;21,70;167,57;Portail web
CMD-102082;12/11/2024;2024-11-16;18/01/2025;CLI-0121;EMP-508;ENT-QC;BD-1129;2;60,66;15,60;45,49;Représentant
CMD-102108;15/11/2024;23/11/2024;2024-12-19;CLI-0152;EMP-503;ENT-QC;BD-1131;4;61,51;8,20;36,32;Représentant
CMD-100911;11-juin-24;15/06/2024;07/08/2024;CLI-0220;EMP-506;ENT-MTL;BD-1031;2;459,10;11,60;294,44;Portail web
CMD-100365;2024-03-27;31/03/2024;;CLI-0198;EMP-504;ENT-QC;BD-1129;4;67,79;5,70;45,49;Téléphone
CMD-100002;01/01/2024;09/01/2024;2024-03-02;CLI-0073;EMP-501;ENT-QC;BD-1105;4;221,44;14,50;166,12;Téléphone
CMD-101357;21/08/2024;30/08/2024;2024-10-03;CLI-0017;EMP-507;ENT-SAG;BD-1029;12;339,19;13,40;238,44;Représentant
CMD-100296;15/03/2024;24/03/2024;19/04/2024;CLI-0117;EMP-504;ENT-MTL;BD-1149;1;170,16;7,10;108,85;Représentant
CMD-101179;30-juil-24;07/08/2024;03/09/2024;CLI-0212;EMP-507;ENT-QC;BD-1027;10;359,23;21,60;249,72;Portail web
CMD-102070;2024-11-11;16/11/2024;09/01/2025;CLI-0053;EMP-509;ENT-MTL;BD-1148;2;401,26;12,70;296,06;Téléphone
CMD-100207;28/02/2024;2024-03-02;11/04/2024;CLI-0211;EMP-504;ENT-SAG;BD-1058;4;217,63;11,10;146,46;Représentant
CMD-100019;05-janv-24;11/01/2024;08/03/2024;CLI-0037;EMP-504;ENT-QC;BD-1121;12;58,25;25,20;43,73;Représentant
CMD-100932;14/06/2024;2024-06-18;08/07/2024;CLI-0073;EMP-501;ENT-QC;BD-1099;4;412,46;16,90;287,66;Courriel
CMD-100099;31/01/2024;09/02/2024;2024-03-05;CLI-0206;EMP-503;ENT-QC;BD-1153;6;166,70;16,90;113,61;Portail web
CMD-100143;2024-02-12;16/02/2024;26/03/2024;CLI-0124;EMP-509;ENT-MTL;BD-1171;12;147,96;6,50;83,70;Représentant
CMD-100788;24-mai-24;01/06/2024;13/07/2024;CLI-0089;EMP-502;ENT-QC;BD-1128;7;109,18;24,60;77,25;Téléphone
CMD-101480;04/09/2024;11-sept-24;14/10/2024;CLI-0012;EMP-501;ENT-QC;BD-1133;16;76,75;24,30;61,66;Représentant
CMD-101310;15/08/2024;18-août-24;17/09/2024;CLI-0040;EMP-509;ENT-MTL;BD-1158;2;303,17;13,30;180,81;Portail web
CMD-101707;27/09/2024;02-oct-24;21/12/2024;CLI-0028;EMP-509;ENT-SAG;BD-1095;3;100,79;2,80;53,64;Représentant
CMD-100691;13/05/2024;16/05/2024;09/06/2024;CLI-0148;EMP-501;ENT-SAG;BD-1176;6;533,10;15,40;322,02;Représentant
CMD-102117;2024-11-16;25/11/2024;19/12/2024;CLI-0137;EMP-503;ENT-SAG;BD-1146;7;289,18;23,00;220,88;Représentant
CMD-102245;09/12/2024;17/12/2024;04-janv-25;CLI-0099;EMP-505;ENT-QC;BD-1085;14;52,47;21,90;40,90;Représentant
CMD-102288;18/12/2024;20/12/2024;2025-02-14;CLI-0132;EMP-507;ENT-SAG;BD-1128;2;123,50;14,70;77,25;Représentant
CMD-100130;08/02/2024;11/02/2024;19-mars-24;CLI-0093;EMP-508;ENT-QC;BD-1167;12;315,95;14,90;205,42;Portail web
CMD-101600;2024-09-16;21/09/2024;23/10/2024;CLI-0146;EMP-503;ENT-QC;BD-1074;12;161,38;16,90;108,27;Courriel
CMD-102219;02/12/2024;05-déc-24;15/01/2025;CLI-0071;EMP-503;ENT-SAG;BD-1089;24;297,55;6,00;157,64;Représentant
CMD-100355;26/03/2024;29/03/2024;2024-05-08;CLI-0004;EMP-505;ENT-QC;BD-1091;2;518,35;8,70;279,07;Téléphone
CMD-101038;2024-06-29;06/07/2024;16/08/2024;CLI-0072;EMP-501;ENT-QC;BD-1120;12;260,55;12,20;182,88;Portail web
CMD-102083;12/11/2024;2024-11-17;09/12/2024;CLI-0099;EMP-505;ENT-MTL;BD-1153;6;157,88;21,30;113,61;Représentant
CMD-101017;2024-06-27;04/07/2024;02/08/2024;CLI-0211;EMP-504;ENT-MTL;BD-1110;4;250,10;11,90;178,91;Représentant
CMD-100281;2024-03-13;18/03/2024;29/03/2024;CLI-0162;EMP-508;ENT-QC;BD-1172;6;361,36;13,70;216,67;Téléphone
CMD-101647;21/09/2024;2024-09-28;13/11/2024;CLI-0056;EMP-502;ENT-MTL;BD-1064;35;94,29;24,70;69,43;Portail web
CMD-100777;23/05/2024;31/05/2024;06/07/2024;CLI-0176 ;EMP-503;ENT-QC;BD-1050;1;483,99;4,00;291,69;Courriel
CMD-100190;26/02/2024;29-févr-24;28/04/2024;CLI-0009;EMP-502;ENT-MTL;BD-1168;2;317,86;20,50;224,71;Portail web
CMD-101504;07/09/2024;16-sept-24;04/10/2024;CLI-0130;EMP-508;ENT-QC;BD-1041;7;204,96;19,10;159,88;Courriel
CMD-101494;06/09/2024;10/09/2024;05-oct-24;CLI-0105;EMP-502;ENT-SAG;BD-1091;1;518,26;8,80;279,07;Courriel
CMD-101069;04/07/2024;07/07/2024;2024-09-04;CLI-0181;EMP-504;ENT-QC;BD-1141;3;456,26;8,60;307,78;Représentant
CMD-100328;20/03/2024;2024-03-28;11/04/2024;  CLI-0044;EMP-505;ENT-MTL;BD-1140;2;56,75;10,70;40,41;Courriel
CMD-101429;30/08/2024;08-sept-24;09/10/2024;CLI-0089;EMP-502;ENT-QC;BD-1033;8;153,14;18,30;110,89;Téléphone
CMD-100709;2024-05-15;21/05/2024;08/06/2024;CLI-0105;EMP-502;ENT-QC;BD-1019;6;285,02;5,30;170,21;Téléphone
CMD-101107;15-juil-24;23/07/2024;28/08/2024;CLI-0110;EMP-507;ENT-QC;BD-1006;-2;328,01;2,00;178,72;Courriel
CMD-100862;04/06/2024;13/06/2024;27/07/2024;CLI-0194;EMP-506;ENT-QC;BD-1064;8;121,86;2,70;69,43;Représentant
CMD-101740;2024-10-01;05/10/2024;31/10/2024;CLI-0143;EMP-503;ENT-QC;BD-1090;6;83,53;12,90;57,58;Téléphone
CMD-100745;20/05/2024;26/05/2024;09/07/2024;CLI-0059;EMP-504;ENT-QC;BD-1019;17;225,07;25,20;170,21;Salon
CMD-101850;2024-10-14;19/10/2024;06/11/2024;CLI-0070;EMP-503;ENT-MTL;BD-1149;8;176,42;3,70;108,85;Portail web
CMD-101352;20/08/2024;25/08/2024;17/09/2024;CLI-0059;EMP-504;ENT-QC;BD-1135;39;54,54;25,60;39,89;Représentant
CMD-101144;22/07/2024;27-juil-24;04/09/2024;CLI-0040;EMP-509;ENT-QC;BD-1131;2;59,59;11,10;36,32;Représentant
CMD-100591;30/04/2024;06/05/2024;2024-06-15;  CLI-0059;EMP-504;ENT-SAG;BD-1058;6;190,94;22,00;146,46;Téléphone
CMD-100273;12/03/2024;2024-03-20;10/05/2024;CLI-0073;EMP-501;ENT-MTL;BD-1181;24;555,36;11,10;305,97;Représentant
CMD-101427;2024-08-29;06/09/2024;19/10/2024;CLI-0116;EMP-509;ENT-MTL;BD-1162;4;121,06;11,70;66,97;Représentant
CMD-100540;22/04/2024;28/04/2024;03-juin-24;CLI-0211;EMP-504;ENT-MTL;BD-1027;3;387,91;15,30;249,72;Téléphone
CMD-102188;2024-11-27;05/12/2024;26/12/2024;CLI-0195;EMP-506;ENT-QC;BD-1099;12;432,61;12,90;287,66;Représentant
CMD-100031;09/01/2024;13/01/2024;2024-02-22;CLI-0106;EMP-501;ENT-MTL;BD-1005;1;287,54;12,10;204,06;Représentant
CMD-101864;15/10/2024;17/10/2024;18-nov-24;CLI-0066;EMP-507;ENT-MTL;BD-1135;3;64,60;11,90;39,89;Représentant
CMD-100449;08/04/2024;10/04/2024;;CLI-0077;EMP-501;ENT-QC;BD-1047;24;103,75;2,70;70,06;Portail web
CMD-102052;2024-11-07;11/11/2024;07/01/2025;CLI-0197;EMP-507;ENT-MTL;BD-1171;1;153,05;3,30;83,70;Portail web
CMD-101721;2024-09-30;03/10/2024;17/11/2024;CLI-0059;EMP-504;ENT-SAG;BD-1076;6;441,10;21,40;281,11;Représentant
CMD-100529;2024-04-19;25/04/2024;03/06/2024;CLI-0037;EMP-504;ENT-MTL;BD-1042;5;342,80;22,30;261,53;Représentant
CMD-100551;23/04/2024;26/04/2024;26/05/2024;CLI-0002;EMP-509;ENT-MTL;BD-1045;3;125,12;4,50;76,76;Portail web
CMD-101568;2024-09-12;17/09/2024;31/10/2024;CLI-0006;EMP-505;ENT-QC;BD-1172;8;375,41;10,30;216,67;Représentant
CMD-100249;07/03/2024;13-mars-24;01/04/2024;CLI-0217;EMP-506;ENT-SAG;BD-1170;10;28,60;18,70;16,60;Téléphone
CMD-100052;17/01/2024;22/01/2024;2024-03-09;CLI-0086;EMP-502;ENT-MTL;BD-1065;3;238,29;4,40;128,81;Représentant
CMD-100120;06/02/2024;10-févr-24;15/03/2024;CLI-0137;EMP-503;ENT-QC;BD-1065;16;185,66;25,60;128,81;Représentant
CMD-101005;26-juin-24;03/07/2024;16/07/2024;CLI-0009;EMP-502;ENT-SAG;BD-1141;8;397,85;20,30;307,78;Représentant
CMD-102220;02/12/2024;04/12/2024;2025-01-21;CLI-0209;EMP-508;ENT-QC;BD-1138;12;113,43;23,00;86,38;Portail web
CMD-101249;08/08/2024;2024-08-16;18/09/2024;CLI-0006;EMP-505;ENT-QC;BD-1028;4;202,59;14,30;140,77;Représentant
CMD-100610;01/05/2024;2024-05-10;08/06/2024;CLI-0210;EMP-503;ENT-MTL;BD-1176;4;576,15;8,60;322,02;Courriel
CMD-100454;09/04/2024;13/04/2024;2024-05-29;CLI-0042;EMP-505;ENT-QC;BD-1064;1;105,20;16,00;69,43;Représentant
CMD-101811;09/10/2024;18/10/2024;20/11/2024;CLI-0063;EMP-503;ENT-MTL;BD-1075;1;87,50;13,20;59,74;Représentant
CMD-100545;2024-04-22;30/04/2024;13/07/2024;CLI-0144;EMP-502;ENT-QC;BD-1056;4;409,85;16,70;287,11;Représentant
CMD-101112;15/07/2024;2024-07-24;19/08/2024;CLI-0003;EMP-508;ENT-MTL;BD-1055;2;318,68;3,00;209,35;Salon
CMD-100984;21/06/2024;2024-06-24;22/07/2024;CLI-0133;EMP-508;ENT-QC;BD-1064;12;111,92;10,70;69,43;Portail web
CMD-100383;29/03/2024;2024-04-03;21/04/2024;CLI-0118;EMP-504;ENT-QC;BD-1029;2;341,53;12,80;238,44;Représentant
CMD-102180;26-nov-24;04/12/2024;02/01/2025;CLI-0029;EMP-506;ENT-QC;BD-1094;36;157,27;22,90;121,74;Téléphone
CMD-101912;21/10/2024;23/10/2024;2024-11-17;CLI-0132 ;EMP-507;ENT-MTL;BD-1081;6;523,86;11,70;302,82;Courriel
CMD-101649;23/09/2024;2024-09-28;11/11/2024;CLI-0209;EMP-508;ENT-SAG;BD-1057;17;23,04;22,80;19,26;Représentant
CMD-101499;2024-09-06;13/09/2024;10/10/2024;CLI-0002;EMP-509;ENT-MTL;BD-1110;4;260,08;8,40;178,91;Représentant
CMD-100925;2024-06-13;18/06/2024;25/07/2024;CLI-0076;EMP-507;ENT-QC;BD-1117;4;113,50;23,40;98,28;Portail web
CMD-101638;19/09/2024;21/09/2024;15/11/2024;CLI-0093;EMP-508;ENT-MTL;BD-1045;4;113,02;13,80;76,76;Portail web
