no_achat	date_commande	date_prevue	date_reception	code_fournisseur	code_article	quantite	cout_unitaire	statut
ACH-70089	2025-05-10	2025-05-31	2025-06-13	FRN-002	BD-1177	12	215,66 $	Recue
ACH-70090	2025-05-30	2025-06-20	2025-06-20	FRN-002	BD-1027	24	254,96 $	Recue
ACH-70091	2025-06-11	2025-07-02	2025-07-07	FRN-002	BD-1166	36	217,35 $	Recue
ACH-70091	2025-06-11	2025-07-02	2025-07-07	FRN-002	BD-1157	120	25,21 $	Recue
ACH-70091	2025-06-11	2025-07-02	2025-07-07	FRN-002	BD-1011	96	294,52 $	Recue
ACH-70092	2025-07-01	2025-07-22	2025-07-22	FRN-002	BD-1166	24	217,35 $	Recue
ACH-70092	2025-07-01	2025-07-22	2025-07-22	FRN-002	BD-1027	60	254,96 $	Recue
ACH-70092	2025-07-01	2025-07-22	2025-07-22	FRN-002	BD-1177	12	215,66 $	Recue
ACH-70093	2025-07-11	2025-08-01	2025-08-01	FRN-002	BD-1157	36	25,21 $	Recue
ACH-70093	2025-07-11	2025-08-01	2025-08-01	FRN-002	BD-1025	24	149,35 $	Recue
ACH-70093	2025-07-11	2025-08-01	2025-08-01	FRN-002	BD-1157	36	25,21 $	Recue
ACH-70094	2025-07-30	2025-08-20	2025-08-20	FRN-002	BD-1164	12	100,45 $	Recue
ACH-70094	2025-07-30	2025-08-20	2025-08-20	FRN-002	BD-1011	48	294,52 $	Recue
ACH-70094	2025-07-30	2025-08-20	2025-08-20	FRN-002	BD-1031	48	300,62 $	Recue
ACH-70094	2025-07-30	2025-08-20	2025-08-20	FRN-002	BD-1170	36	16,95 $	Recue
ACH-70094	2025-07-30	2025-08-20	2025-08-20	FRN-002	BD-1031	240	300,62 $	Recue
ACH-70095	2025-08-19	2025-09-09	2025-09-23	FRN-002	BD-1158	120	184,61 $	Recue
ACH-70095	2025-08-19	2025-09-09	2025-09-23	FRN-002	BD-1170	36	16,95 $	Recue
ACH-70095	2025-08-19	2025-09-09	2025-09-23	FRN-002	BD-1163	120	300,77 $	Recue
ACH-70095	2025-08-19	2025-09-09	2025-09-23	FRN-002	BD-1006	60	182,47 $	Recue
ACH-70095	2025-08-19	2025-09-09	2025-09-23	FRN-002	BD-1029	240	243,45 $	Recue
ACH-70096	2025-08-28	2025-09-18	2025-09-18	FRN-002	BD-1157	240	25,21 $	Recue
ACH-70096	2025-08-28	2025-09-18	2025-09-18	FRN-002	BD-1031	120	300,62 $	Recue
ACH-70097	2025-09-17	2025-10-08	2025-10-08	FRN-002	BD-1170	36	16,95 $	Recue
ACH-70097	2025-09-17	2025-10-08	2025-10-08	FRN-002	BD-1029	120	243,45 $	Recue
ACH-70097	2025-09-17	2025-10-08	2025-10-08	FRN-002	BD-1025	120	149,35 $	Recue
ACH-70097	2025-09-17	2025-10-08	2025-10-08	FRN-002	BD-1164	60	100,45 $	Recue
ACH-70098	2025-09-27	2025-10-18	2025-10-18	FRN-002	BD-1158	60	184,61 $	Recue
ACH-70098	2025-09-27	2025-10-18	2025-10-18	FRN-002	BD-1164	48	100,45 $	Recue
ACH-70098	2025-09-27	2025-10-18	2025-10-18	FRN-002	BD-1011	240	294,52 $	Recue
ACH-70098	2025-09-27	2025-10-18	2025-10-18	FRN-002	BD-1163	24	300,77 $	Recue
ACH-70098	2025-09-27	2025-10-18	2025-10-18	FRN-002	BD-1031	120	300,62 $	Recue
ACH-70099	2025-10-14	2025-11-04	2025-11-04	FRN-002	BD-1162	120	68,38 $	Recue
ACH-70100	2025-10-28	2025-11-18	2025-11-18	FRN-002	BD-1025	120	149,35 $	Recue
ACH-70100	2025-10-28	2025-11-18	2025-11-18	FRN-002	BD-1166	120	217,35 $	Recue
ACH-70101	2025-11-12	2025-12-03	2025-12-03	FRN-002	BD-1013	120	315,34 $	Recue
ACH-70102	2025-11-22	2025-12-13	2025-12-13	FRN-002	BD-1157	12	25,21 $	Recue
ACH-70102	2025-11-22	2025-12-13	2025-12-13	FRN-002	BD-1013	36	315,34 $	Recue
ACH-70102	2025-11-22	2025-12-13	2025-12-13	FRN-002	BD-1164	24	100,45 $	Recue
ACH-70102	2025-11-22	2025-12-13	2025-12-13	FRN-002	BD-1164	60	100,45 $	Recue
ACH-70103	2025-12-09	2025-12-30	2025-12-30	FRN-002	BD-1011	96	294,52 $	Recue
ACH-70103	2025-12-09	2025-12-30	2025-12-30	FRN-002	BD-1027	240	254,96 $	Recue
ACH-70103	2025-12-09	2025-12-30	2025-12-30	FRN-002	BD-1158	12	184,61 $	Recue
ACH-70103	2025-12-09	2025-12-30	2025-12-30	FRN-002	BD-1167	240	209,73 $	Recue
ACH-70104	2025-12-24	2026-01-14		FRN-002	BD-1162	60	68,38 $	En transit
ACH-70105	2024-01-18	2024-03-03	2024-03-03	FRN-005	BD-1042	60	261,53 $	Recue
ACH-70105	2024-01-18	2024-03-03	2024-03-03	FRN-005	BD-1052	60	179,27 $	Recue
ACH-70105	2024-01-18	2024-03-03	2024-03-03	FRN-005	BD-1052	120	179,27 $	Recue
ACH-70106	2024-01-30	2024-03-15	2024-03-15	FRN-005	BD-1122	60	208,30 $	Recue
ACH-70106	2024-01-30	2024-03-15	2024-03-15	FRN-005	BD-1119	60	58,44 $	Recue
ACH-70107	2024-02-19	2024-04-04	2024-04-26	FRN-005	BD-1054	12	257,53 $	Recue
ACH-70107	2024-02-19	2024-04-04	2024-04-26	FRN-005	BD-1119	240	58,44 $	Recue
ACH-70107	2024-02-19	2024-04-04	2024-04-26	FRN-005	BD-1122	60	208,30 $	Recue
ACH-70107	2024-02-19	2024-04-04	2024-04-26	FRN-005	BD-1044	60	195,45 $	Recue
ACH-70107	2024-02-19	2024-04-04	2024-04-26	FRN-005	BD-1055	48	209,35 $	Recue
ACH-70108	2024-03-09	2024-04-23	2024-04-24	FRN-005	BD-1052	240	179,27 $	Recue
ACH-70108	2024-03-09	2024-04-23	2024-04-24	FRN-005	BD-1064	240	69,43 $	Recue
ACH-70108	2024-03-09	2024-04-23	2024-04-24	FRN-005	BD-1044	12	195,45 $	Recue
ACH-70108	2024-03-09	2024-04-23	2024-04-24	FRN-005	BD-1044	240	195,45 $	Recue
ACH-70109	2024-03-29	2024-05-13	2024-05-13	FRN-005	BD-1050	120	291,69 $	Recue
ACH-70109	2024-03-29	2024-05-13	2024-05-13	FRN-005	BD-1064	240	69,43 $	Recue
ACH-70109	2024-03-29	2024-05-13	2024-05-13	FRN-005	BD-1119	60	58,44 $	Recue
ACH-70110	2024-04-07	2024-05-22	2024-05-22	FRN-005	BD-1052	96	179,27 $	Recue
ACH-70110	2024-04-07	2024-05-22	2024-05-22	FRN-005	BD-1050	96	291,69 $	Recue
ACH-70110	2024-04-07	2024-05-22	2024-05-22	FRN-005	BD-1044	12	195,45 $	Recue
ACH-70110	2024-04-07	2024-05-22	2024-05-22	FRN-005	BD-1105	240	166,12 $	Recue
ACH-70110	2024-04-07	2024-05-22	2024-05-22	FRN-005	BD-1122	60	208,30 $	Recue
ACH-70111	2024-04-23	2024-06-07	2024-06-07	FRN-005	BD-1055	36	209,35 $	Recue
ACH-70111	2024-04-23	2024-06-07	2024-06-07	FRN-005	BD-1054	120	257,53 $	Recue
ACH-70111	2024-04-23	2024-06-07	2024-06-07	FRN-005	BD-1119	36	58,44 $	Recue
ACH-70111	2024-04-23	2024-06-07	2024-06-07	FRN-005	BD-1054	48	257,53 $	Recue
ACH-70111	2024-04-23	2024-06-07	2024-06-07	FRN-005	BD-1119	96	58,44 $	Recue
ACH-70112	2024-05-13	2024-06-27	2024-06-27	FRN-005	BD-1050	96	291,69 $	Recue
ACH-70112	2024-05-13	2024-06-27	2024-06-27	FRN-005	BD-1044	36	195,45 $	Recue
ACH-70113	2024-05-26	2024-07-10	2024-07-10	FRN-005	BD-1044	60	195,45 $	Recue
ACH-70113	2024-05-26	2024-07-10	2024-07-10	FRN-005	BD-1122	36	208,30 $	Recue
ACH-70113	2024-05-26	2024-07-10	2024-07-10	FRN-005	BD-1064	120	69,43 $	Recue
ACH-70113	2024-05-26	2024-07-10	2024-07-10	FRN-005	BD-1105	96	166,12 $	Recue
ACH-70114	2024-06-13	2024-07-28	2024-07-28	FRN-005	BD-1123	36	129,56 $	Recue
ACH-70114	2024-06-13	2024-07-28	2024-07-28	FRN-005	BD-1054	24	257,53 $	Recue
ACH-70115	2024-06-24	2024-08-08	2024-08-08	FRN-005	BD-1054	60	257,53 $	Recue
ACH-70115	2024-06-24	2024-08-08	2024-08-08	FRN-005	BD-1064	240	69,43 $	Recue
ACH-70115	2024-06-24	2024-08-08	2024-08-08	FRN-005	BD-1052	120	179,27 $	Recue
ACH-70116	2024-07-13	2024-08-27	2024-08-27	FRN-005	BD-1052	60	179,27 $	Recue
ACH-70116	2024-07-13	2024-08-27	2024-08-27	FRN-005	BD-1105	24	166,12 $	Recue
ACH-70116	2024-07-13	2024-08-27	2024-08-27	FRN-005	BD-1105	12	166,12 $	Recue
ACH-70117	2024-07-25	2024-09-08	2024-09-08	FRN-005	BD-1105	96	166,12 $	Recue
ACH-70117	2024-07-25	2024-09-08	2024-09-08	FRN-005	BD-1055	48	209,35 $	Recue
ACH-70117	2024-07-25	2024-09-08	2024-09-08	FRN-005	BD-1044	240	195,45 $	Recue
ACH-70117	2024-07-25	2024-09-08	2024-09-08	FRN-005	BD-1119	12	58,44 $	Recue
ACH-70118	2024-08-09	2024-09-23	2024-09-23	FRN-005	BD-1054	240	257,53 $	Recue
ACH-70118	2024-08-09	2024-09-23	2024-09-23	FRN-005	BD-1064	12	69,43 $	Recue
ACH-70118	2024-08-09	2024-09-23	2024-09-23	FRN-005	BD-1042	240	261,53 $	Recue
ACH-70119	2024-08-27	2024-10-11	2024-10-11	FRN-005	BD-9431	36	291,69 $	Recue
ACH-70119	2024-08-27	2024-10-11	2024-10-11	FRN-005	BD-1105	120	166,12 $	Recue
ACH-70120	2024-09-09	2024-10-24	2024-10-24	FRN-005	BD-1122	60	208,30 $	Recue
ACH-70120	2024-09-09	2024-10-24	2024-10-24	FRN-005	BD-1123	120	129,56 $	Recue
ACH-70120	2024-09-09	2024-10-24	2024-10-24	FRN-005	BD-1052	96	179,27 $	Recue
ACH-70120	2024-09-09	2024-10-24	2024-10-24	FRN-005	BD-1122	12	208,30 $	Recue
ACH-70121	2024-09-24	2024-11-08	2024-11-08	FRN-005	BD-1123	36	129,56 $	Recue
ACH-70121	2024-09-24	2024-11-08	2024-11-08	FRN-005	BD-1052	60	179,27 $	Recue
ACH-70121	2024-09-24	2024-11-08	2024-11-08	FRN-005	BD-1050	48	291,69 $	Recue
ACH-70121	2024-09-24	2024-11-08	2024-11-08	FRN-005	BD-1055	60	209,35 $	Recue
ACH-70121	2024-09-24	2024-11-08	2024-11-08	FRN-005	BD-1123	24	129,56 $	Recue
ACH-70122	2024-10-05	2024-11-19	2024-11-25	FRN-005	BD-1042	120	261,53 $	Recue
ACH-70123	2024-10-24	2024-12-08	2024-12-08	FRN-005	BD-1050	60	291,69 $	Recue
ACH-70123	2024-10-24	2024-12-08	2024-12-08	FRN-005	BD-1122	240	208,30 $	Recue
ACH-70123	2024-10-24	2024-12-08	2024-12-08	FRN-005	BD-1105	-24	166,12 $	Recue
ACH-70124	2024-11-12	2024-12-27	2024-12-29	FRN-005	BD-1052	240	179,27 $	Recue
ACH-70124	2024-11-12	2024-12-27	2024-12-29	FRN-005	BD-1119	96	58,44 $	Recue
ACH-70124	2024-11-12	2024-12-27	2024-12-29	FRN-005	BD-1119	12	58,44 $	Recue
ACH-70125	2024-11-27	2025-01-11	2025-01-11	FRN-005	BD-1064	36	69,43 $	Recue
ACH-70126	2024-12-09	2025-01-23	2025-02-11	FRN-005	BD-1105	12	166,12 $	Recue
ACH-70127	2024-12-29	2025-02-12	2025-02-12	FRN-005	BD-1122	24	208,30 $	Recue
ACH-70127	2024-12-29	2025-02-12	2025-02-12	FRN-005	BD-1055	120	209,35 $	Recue
ACH-70128	2025-01-11	2025-02-25	2025-02-25	FRN-005	BD-1122	60	212,67 $	Recue
ACH-70128	2025-01-11	2025-02-25	2025-02-25	FRN-005	BD-1055	36	213,75 $	Recue
ACH-70128	2025-01-11	2025-02-25	2025-02-25	FRN-005	BD-1055	48	213,75 $	Recue
ACH-70128	2025-01-11	2025-02-25	2025-02-25	FRN-005	BD-1105	240	169,61 $	Recue
ACH-70129	2025-01-22	2025-03-08	2025-03-08	FRN-005	BD-1055	48	213,75 $	Recue
ACH-70129	2025-01-22	2025-03-08	2025-03-08	FRN-005	BD-1050	48	297,82 $	Recue
ACH-70129	2025-01-22	2025-03-08	2025-03-08	FRN-005	BD-1119	96	59,67 $	Recue
ACH-70129	2025-01-22	2025-03-08	2025-03-08	FRN-005	BD-1122	36	212,67 $	Recue
ACH-70129	2025-01-22	2025-03-08	2025-03-08	FRN-005	BD-1119	24	59,67 $	Recue
ACH-70130	2025-02-10	2025-03-27	2025-03-27	FRN-005	BD-1064	120	70,89 $	Recue
ACH-70130	2025-02-10	2025-03-27	2025-03-27	FRN-005	BD-1044	96	199,55 $	Recue
ACH-70130	2025-02-10	2025-03-27	2025-03-27	FRN-005	BD-1123	24	132,28 $	Recue
ACH-70130	2025-02-10	2025-03-27	2025-03-27	FRN-005	BD-1064	24	70,89 $	Recue
ACH-70131	2025-02-24	2025-04-10	2025-04-10	FRN-005	BD-1054	24	262,94 $	Recue
ACH-70132	2025-03-07	2025-04-21	2025-04-25	FRN-005	BD-1119	36	59,67 $	Recue
ACH-70132	2025-03-07	2025-04-21	2025-04-25	FRN-005	BD-1052	36	183,03 $	Recue
ACH-70132	2025-03-07	2025-04-21	2025-04-25	FRN-005	BD-1122	120	212,67 $	Recue
ACH-70132	2025-03-07	2025-04-21	2025-04-25	FRN-005	BD-1042	120	267,02 $	Recue
ACH-70132	2025-03-07	2025-04-21	2025-04-25	FRN-005	BD-1105	240	169,61 $	Recue
ACH-70133	2025-03-16	2025-04-30	2025-04-30	FRN-005	BD-1122	12	212,67 $	Recue
ACH-70134	2025-03-30	2025-05-14	2025-05-14	FRN-005	BD-1105	240	169,61 $	Recue
ACH-70134	2025-03-30	2025-05-14	2025-05-14	FRN-005	BD-1042	96	267,02 $	Recue
ACH-70135	2025-04-15	2025-05-30	2025-06-01	FRN-005	BD-1105	36	169,61 $	Recue
ACH-70135	2025-04-15	2025-05-30	2025-06-01	FRN-005	BD-1054	60	262,94 $	Recue
ACH-70135	2025-04-15	2025-05-30	2025-06-01	FRN-005	BD-1122	24	212,67 $	Recue
ACH-70135	2025-04-15	2025-05-30	2025-06-01	FRN-005	BD-1042	120	267,02 $	Recue
ACH-70136	2025-04-29	2025-06-13	2025-06-13	FRN-005	BD-1055	36	213,75 $	Recue
ACH-70136	2025-04-29	2025-06-13	2025-06-13	FRN-005	BD-1064	96	70,89 $	Recue
ACH-70136	2025-04-29	2025-06-13	2025-06-13	FRN-005	BD-1122	48	212,67 $	Recue
ACH-70137	2025-05-19	2025-07-03	2025-07-03	FRN-005	BD-1122	120	212,67 $	Recue
ACH-70137	2025-05-19	2025-07-03	2025-07-03	FRN-005	BD-1044	24	199,55 $	Recue
ACH-70137	2025-05-19	2025-07-03	2025-07-03	FRN-005	BD-1119	36	59,67 $	Recue
ACH-70138	2025-06-04	2025-07-19	2025-07-19	FRN-005	BD-1042	96	267,02 $	Recue
ACH-70138	2025-06-04	2025-07-19	2025-07-19	FRN-005	BD-1119	48	59,67 $	Recue
ACH-70138	2025-06-04	2025-07-19	2025-07-19	FRN-005	BD-1054	240	262,94 $	Recue
ACH-70138	2025-06-04	2025-07-19	2025-07-19	FRN-005	BD-1119	48	59,67 $	Recue
ACH-70138	2025-06-04	2025-07-19	2025-07-19	FRN-005	BD-1050	24	297,82 $	Recue
ACH-70139	2025-06-17	2025-08-01	2025-08-03	FRN-005	BD-1042	12	267,02 $	Recue
ACH-70139	2025-06-17	2025-08-01	2025-08-03	FRN-005	BD-1122	24	212,67 $	Recue
ACH-70139	2025-06-17	2025-08-01	2025-08-03	FRN-005	BD-1123	96	132,28 $	Recue
ACH-70139	2025-06-17	2025-08-01	2025-08-03	FRN-005	BD-1123	12	132,28 $	Recue
ACH-70140	2025-06-30	2025-08-14	2025-08-28	FRN-005	BD-1054	60	262,94 $	Recue
ACH-70140	2025-06-30	2025-08-14	2025-08-28	FRN-005	BD-1055	48	213,75 $	Recue
ACH-70140	2025-06-30	2025-08-14	2025-08-28	FRN-005	BD-1119	36	59,67 $	Recue
ACH-70140	2025-06-30	2025-08-14	2025-08-28	FRN-005	BD-1122	96	212,67 $	Recue
ACH-70140	2025-06-30	2025-08-14	2025-08-28	FRN-005	BD-1054	24	262,94 $	Recue
ACH-70141	2025-07-11	2025-08-25	2025-08-25	FRN-005	BD-1119	24	59,67 $	Recue
ACH-70141	2025-07-11	2025-08-25	2025-08-25	FRN-005	BD-1123	60	132,28 $	Recue
ACH-70141	2025-07-11	2025-08-25	2025-08-25	FRN-005	BD-9902	240	267,02 $	Recue
ACH-70142	2025-07-24	2025-09-07	2025-09-07	FRN-005	BD-1044	48	199,55 $	Recue
ACH-70142	2025-07-24	2025-09-07	2025-09-07	FRN-005	BD-1050	120	297,82 $	Recue
ACH-70142	2025-07-24	2025-09-07	2025-09-07	FRN-005	BD-1044	48	199,55 $	Recue
ACH-70143	2025-08-09	2025-09-23	2025-10-01	FRN-005	BD-1050	36	297,82 $	Recue
ACH-70144	2025-08-27	2025-10-11	2025-10-17	FRN-005	BD-1054	12	262,94 $	Recue
ACH-70144	2025-08-27	2025-10-11	2025-10-17	FRN-005	BD-1122	36	212,67 $	Recue
ACH-70144	2025-08-27	2025-10-11	2025-10-17	FRN-005	BD-1119	120	59,67 $	Recue
ACH-70144	2025-08-27	2025-10-11	2025-10-17	FRN-005	BD-1122	120	212,67 $	Recue
ACH-70145	2025-09-14	2025-10-29	2025-10-29	FRN-005	BD-1122	60	212,67 $	Recue
ACH-70145	2025-09-14	2025-10-29	2025-10-29	FRN-005	BD-1119	12	59,67 $	Recue
ACH-70145	2025-09-14	2025-10-29	2025-10-29	FRN-005	BD-1050	48	297,82 $	Recue
ACH-70145	2025-09-14	2025-10-29	2025-10-29	FRN-005	BD-1044	24	199,55 $	Recue
ACH-70146	2025-09-27	2025-11-11	2025-11-21	FRN-005	BD-1054	120	262,94 $	Recue
ACH-70146	2025-09-27	2025-11-11	2025-11-21	FRN-005	BD-1064	60	70,89 $	Recue
ACH-70146	2025-09-27	2025-11-11	2025-11-21	FRN-005	BD-1042	120	267,02 $	Recue
ACH-70147	2025-10-14	2025-11-28	2025-11-28	FRN-005	BD-1050	120	297,82 $	Recue
ACH-70148	2025-10-27	2025-12-11	2025-12-11	FRN-005	BD-1042	36	267,02 $	Recue
ACH-70148	2025-10-27	2025-12-11	2025-12-11	FRN-005	BD-1119	60	59,67 $	Recue
ACH-70148	2025-10-27	2025-12-11	2025-12-11	FRN-005	BD-1105	48	169,61 $	Recue
ACH-70149	2025-11-13	2025-12-28	2025-12-28	FRN-005	BD-1042	24	267,02 $	Recue
ACH-70150	2025-11-29	2026-01-13		FRN-005	BD-1044	24	199,55 $	En transit
ACH-70150	2025-11-29	2026-01-13		FRN-005	BD-1055	240	213,75 $	En transit
ACH-70151	2025-12-10	2026-01-24		FRN-005	BD-1044	240	199,55 $	En transit
ACH-70151	2025-12-10	2026-01-24		FRN-005	BD-1042	24	267,02 $	En transit
ACH-70152	2025-12-30	2026-02-13		FRN-005	BD-1042	12	267,02 $	En transit
ACH-70152	2025-12-30	2026-02-13		FRN-005	BD-1050	48	297,82 $	En transit
ACH-70152	2025-12-30	2026-02-13		FRN-005	BD-1052	240	183,03 $	En transit
ACH-70153	2024-01-06	2024-01-16	2024-01-16	FRN-006	BD-1106	48	333,09 $	Recue
ACH-70153	2024-01-06	2024-01-16	2024-01-16	FRN-006	BD-9319	96	98,28 $	Recue
ACH-70153	2024-01-06	2024-01-16	2024-01-16	FRN-006	BD-1117	120	98,28 $	Recue
ACH-70153	2024-01-06	2024-01-16	2024-01-16	FRN-006	BD-1125	24	285,25 $	Recue
ACH-70154	2024-01-21	2024-01-31	2024-02-24	FRN-006	BD-1106	60	333,09 $	Recue
ACH-70155	2024-02-03	2024-02-13	2024-02-13	FRN-006	BD-1125	24	285,25 $	Recue
ACH-70155	2024-02-03	2024-02-13	2024-02-13	FRN-006	BD-1117	240	98,28 $	Recue
ACH-70155	2024-02-03	2024-02-13	2024-02-13	FRN-006	BD-1106	240	333,09 $	Recue
ACH-70156	2024-02-12	2024-02-22	2024-02-28	FRN-006	BD-1117	24	98,28 $	Recue
ACH-70156	2024-02-12	2024-02-22	2024-02-28	FRN-006	BD-1106	12	333,09 $	Recue
ACH-70157	2024-02-23	2024-03-04	2024-03-04	FRN-006	BD-1106	120	333,09 $	Recue
ACH-70157	2024-02-23	2024-03-04	2024-03-04	FRN-006	BD-1106	48	333,09 $	Recue
ACH-70157	2024-02-23	2024-03-04	2024-03-04	FRN-006	BD-1125	120	285,25 $	Recue
ACH-70157	2024-02-23	2024-03-04	2024-03-04	FRN-006	BD-1117	24	98,28 $	Recue
ACH-70158	2024-03-07	2024-03-17	2024-03-18	FRN-006	BD-1117	48	98,28 $	Recue
ACH-70158	2024-03-07	2024-03-17	2024-03-18	FRN-006	BD-1106	120	333,09 $	Recue
ACH-70158	2024-03-07	2024-03-17	2024-03-18	FRN-006	BD-1106	240	333,09 $	Recue
ACH-70158	2024-03-07	2024-03-17	2024-03-18	FRN-006	BD-1125	96	285,25 $	Recue
ACH-70158	2024-03-07	2024-03-17	2024-03-18	FRN-006	BD-1106	240	333,09 $	Recue
ACH-70159	2024-03-27	2024-04-06	2024-04-06	FRN-006	BD-1117	12	98,28 $	Recue
ACH-70159	2024-03-27	2024-04-06	2024-04-06	FRN-006	BD-1106	96	333,09 $	Recue
ACH-70159	2024-03-27	2024-04-06	2024-04-06	FRN-006	BD-1106	48	333,09 $	Recue
ACH-70160	2024-04-15	2024-04-25	2024-04-25	FRN-006	BD-1117	48	98,28 $	Recue
ACH-70160	2024-04-15	2024-04-25	2024-04-25	FRN-006	BD-1106	12	333,09 $	Recue
ACH-70161	2024-04-27	2024-05-07	2024-05-07	FRN-006	BD-1117	48	98,28 $	Recue
ACH-70161	2024-04-27	2024-05-07	2024-05-07	FRN-006	BD-1106	120	333,09 $	Recue
ACH-70161	2024-04-27	2024-05-07	2024-05-07	FRN-006	BD-1106	36	333,09 $	Recue
ACH-70162	2024-05-10	2024-05-20	2024-05-20	FRN-006	BD-1106	36	333,09 $	Recue
ACH-70163	2024-05-24	2024-06-03	2024-06-03	FRN-006	BD-1117	60	98,28 $	Recue
ACH-70164	2024-06-08	2024-06-18	2024-06-18	FRN-006	BD-1117	48	98,28 $	Recue
ACH-70164	2024-06-08	2024-06-18	2024-06-18	FRN-006	BD-1106	96	333,09 $	Recue
ACH-70164	2024-06-08	2024-06-18	2024-06-18	FRN-006	BD-1106	48	333,09 $	Recue
ACH-70165	2024-06-28	2024-07-08	2024-07-08	FRN-006	BD-1125	12	285,25 $	Recue
ACH-70166	2024-07-14	2024-07-24	2024-07-24	FRN-006	BD-1125	12	285,25 $	Recue
ACH-70166	2024-07-14	2024-07-24	2024-07-24	FRN-006	BD-1117	36	98,28 $	Recue
ACH-70167	2024-07-24	2024-08-03	2024-08-03	FRN-006	BD-1125	24	285,25 $	Recue
ACH-70167	2024-07-24	2024-08-03	2024-08-03	FRN-006	BD-1117	60	98,28 $	Recue
ACH-70167	2024-07-24	2024-08-03	2024-08-03	FRN-006	BD-1106	24	333,09 $	Recue
ACH-70167	2024-07-24	2024-08-03	2024-08-03	FRN-006	BD-1106	24	333,09 $	Recue
ACH-70168	2024-08-12	2024-08-22	2024-08-22	FRN-006	BD-1125	36	285,25 $	Recue
ACH-70168	2024-08-12	2024-08-22	2024-08-22	FRN-006	BD-1106	60	333,09 $	Recue
ACH-70168	2024-08-12	2024-08-22	2024-08-22	FRN-006	BD-1117	120	98,28 $	Recue
ACH-70168	2024-08-12	2024-08-22	2024-08-22	FRN-006	BD-1106	36	333,09 $	Recue
ACH-70169	2024-08-22	2024-09-01	2024-09-01	FRN-006	BD-1125	48	285,25 $	Recue
ACH-70169	2024-08-22	2024-09-01	2024-09-01	FRN-006	BD-1125	24	285,25 $	Recue
ACH-70169	2024-08-22	2024-09-01	2024-09-01	FRN-006	BD-1125	240	285,25 $	Recue
ACH-70169	2024-08-22	2024-09-01	2024-09-01	FRN-006	BD-1125	60	285,25 $	Recue
ACH-70169	2024-08-22	2024-09-01	2024-09-01	FRN-006	BD-1106	60	333,09 $	Recue
ACH-70170	2024-08-31	2024-09-10	2024-09-10	FRN-006	BD-1106	12	333,09 $	Recue
ACH-70170	2024-08-31	2024-09-10	2024-09-10	FRN-006	BD-1117	12	98,28 $	Recue
ACH-70170	2024-08-31	2024-09-10	2024-09-10	FRN-006	BD-1117	60	98,28 $	Recue
ACH-70171	2024-09-15	2024-09-25	2024-09-25	FRN-006	BD-1106	24	333,09 $	Recue
ACH-70172	2024-10-02	2024-10-12	2024-10-17	FRN-006	BD-1117	240	98,28 $	Recue
ACH-70172	2024-10-02	2024-10-12	2024-10-17	FRN-006	BD-1125	120	285,25 $	Recue
ACH-70172	2024-10-02	2024-10-12	2024-10-17	FRN-006	BD-1125	36	285,25 $	Recue
ACH-70172	2024-10-02	2024-10-12	2024-10-17	FRN-006	BD-1125	36	285,25 $	Recue
ACH-70173	2024-10-13	2024-10-23	2024-10-23	FRN-006	BD-1106	12	333,09 $	Recue
ACH-70174	2024-10-28	2024-11-07	2024-11-08	FRN-006	BD-1117	240	98,28 $	Recue
ACH-70174	2024-10-28	2024-11-07	2024-11-08	FRN-006	BD-1106	48	333,09 $	Recue
ACH-70175	2024-11-17	2024-11-27	2024-11-27	FRN-006	BD-1106	120	333,09 $	Recue
ACH-70175	2024-11-17	2024-11-27	2024-11-27	FRN-006	BD-1106	96	333,09 $	Recue
ACH-70175	2024-11-17	2024-11-27	2024-11-27	FRN-006	BD-1125	12	285,25 $	Recue
ACH-70176	2024-11-26	2024-12-06	2024-12-11	FRN-006	BD-1117	36	98,28 $	Recue
ACH-70177	2024-12-10	2024-12-20	2024-12-20	FRN-006	BD-1106	48	333,09 $	Recue
ACH-70177	2024-12-10	2024-12-20	2024-12-20	FRN-006	BD-1125	60	285,25 $	Recue
ACH-70177	2024-12-10	2024-12-20	2024-12-20	FRN-006	BD-1125	48	285,25 $	Recue
ACH-70178	2024-12-26	2025-01-05	2025-01-05	FRN-006	BD-1125	12	285,25 $	Recue
ACH-70178	2024-12-26	2025-01-05	2025-01-05	FRN-006	BD-1125	48	285,25 $	Recue
ACH-70178	2024-12-26	2025-01-05	2025-01-05	FRN-006	BD-1125	60	285,25 $	Recue
ACH-70179	2025-01-11	2025-01-21	2025-01-21	FRN-006	BD-1125	24	291,24 $	Recue
ACH-70179	2025-01-11	2025-01-21	2025-01-21	FRN-006	BD-1117	240	100,34 $	Recue
ACH-70179	2025-01-11	2025-01-21	2025-01-21	FRN-006	BD-1117	48	100,34 $	Recue
ACH-70179	2025-01-11	2025-01-21	2025-01-21	FRN-006	BD-1106	120	340,08 $	Recue
ACH-70180	2025-01-26	2025-02-05	2025-02-05	FRN-006	BD-1106	60	340,08 $	Recue
ACH-70180	2025-01-26	2025-02-05	2025-02-05	FRN-006	BD-1125	96	291,24 $	Recue
ACH-70180	2025-01-26	2025-02-05	2025-02-05	FRN-006	BD-1117	96	100,34 $	Recue
ACH-70181	2025-02-12	2025-02-22	2025-02-22	FRN-006	BD-1125	240	291,24 $	Recue
ACH-70181	2025-02-12	2025-02-22	2025-02-22	FRN-006	BD-1106	24	340,08 $	Recue
