NO COMMANDE;DATE COMMANDE;DATE LIVRAISON;DATE PAIEMENT;CODE CLIENT;REPRESENTANT;ENTREPOT;CODE ARTICLE;QTE;PRIX UNITAIRE;REMISE %;COUT UNITAIRE;CANAL DE VENTE
CMD-103750;04/08/2025;08/08/2025;23/09/2025;CLI-0035;EMP-503;ENT-MTL;BD-1177;2;359,52;11,80;215,66;Représentant
CMD-104248;22/09/2025;2025-09-30;19/10/2025;CLI-0137;EMP-503;ENT-QC;BD-1059;10;426,84;19,10;391,48;Téléphone
CMD-104760;06/11/2025;2025-11-08;04/12/2025;CLI-0198;EMP-504;ENT-QC;BD-1173;4;386,63;3,00;212,35;Salon
CMD-104497;13/10/2025;20/10/2025;2025-12-01;CLI-0056;EMP-502;ENT-MTL;BD-1068;3;445,47;21,00;342,49;Portail web
CMD-102993;24/04/2025;30-avr-25;20/06/2025;CLI-0081;EMP-502;ENT-SAG;BD-1051;6;111,76;13,80;79,76;Représentant
CMD-103947;25/08/2025;28/08/2025;15/10/2025;CLI-0076;EMP-507;ENT-SAG;BD-1016;18;334,39;19,10;224,02;Représentant
CMD-102842;2025-04-04;11/04/2025;27/05/2025;CLI-0090;EMP-505;ENT-MTL;BD-1058;6;217,70;11,10;149,54;Portail web
CMD-103538;30/06/2025;07/07/2025;27-août-25;CLI-0164;EMP-509;ENT-MTL;BD-1051;2;125,53;3,20;79,76;Téléphone
CMD-103389;11-juin-25;16/06/2025;03/08/2025;CLI-0108;EMP-503;ENT-QC;BD-1029;3;325,44;17,00;243,45;Courriel
CMD-102666;12/03/2025;18/03/2025;14-mai-25;CLI-0213;EMP-508;ENT-MTL;BD-1163;4;597,13;2,60;300,77;Représentant
CMD-104826;2025-11-15;19/11/2025;;CLI-0029;EMP-506;ENT-SAG;BD-1068;81;421,81;25,20;342,49;Téléphone
CMD-104866;20/11/2025;29/11/2025;;CLI-0012;EMP-501;ENT-MTL;BD-1152;5;389,62;19,00;271,40;Représentant
CMD-104421;07/10/2025;15-oct-25;30/11/2025;CLI-0133;EMP-508;ENT-MTL;BD-1152;1;411,27;14,50;271,40;Téléphone
CMD-103196;19/05/2025;21/05/2025;2025-07-23;CLI-0009;EMP-502;ENT-MTL;BD-1063;27;298,03;19,10;247,24;Téléphone
CMD-104917;26/11/2025;2025-12-03;29/12/2025;CLI-0034;EMP-507;ENT-QC;BD-1079;1;227,42;13,80;147,87;Représentant
CMD-103404;12/06/2025;2025-06-18;06/08/2025;CLI-0065;EMP-504;ENT-MTL;BD-1016;6;397,89;3,70;224,02;Représentant
CMD-103294;29/05/2025;2025-06-03;13/07/2025;CLI-0051;EMP-509;ENT-MTL;BD-1109;3;421,19;8,40;310,20;Représentant
CMD-104711;31/10/2025;09/11/2025;2025-12-17;CLI-0158;EMP-507;ENT-MTL;BD-1091;4;518,06;8,80;336,22;Téléphone
CMD-104071;08/09/2025;14/09/2025;2025-11-03;CLI-0169;EMP-507;ENT-MTL;BD-1173;4;356,16;10,70;212,35;Courriel
CMD-104258;23/09/2025;02/10/2025;22-oct-25;CLI-0184;EMP-503;ENT-QC;BD-1028;1;223,90;5,30;143,73;Représentant
CMD-104285;25/09/2025;02-oct-25;11/11/2025;CLI-0115;EMP-509;ENT-QC;BD-1172;4;361,41;13,70;221,22;Représentant
CMD-104057;05/09/2025;09/09/2025;29-oct-25;CLI-0023;EMP-505;ENT-QC;BD-1096;2;286,44;3,30;205,70;Représentant
CMD-103681;21/07/2025;30/07/2025;2025-09-17;CLI-0006;EMP-505;ENT-MTL;BD-1119;3;78,63;14,40;59,67;Représentant
CMD-103792;08/08/2025;17/08/2025;2025-09-30;CLI-0009;EMP-502;ENT-SAG;BD-1043;3;411,64;22,00;300,28;Téléphone
CMD-103895;19/08/2025;26/08/2025;2025-10-13;CLI-0161;EMP-508;ENT-MTL;BD-1170;3;34,00;3,30;16,95;Portail web
CMD-104760;2025-11-06;08/11/2025;04/12/2025;CLI-0198;EMP-504;ENT-QC;BD-1068;2;546,89;3,00;342,49;Représentant
CMD-104908;25-nov-25;28/11/2025;;CLI-0099;EMP-505;ENT-MTL;BD-1146;19;285,49;24,00;225,52;Téléphone
CMD-103006;26/04/2025;01/05/2025;2025-05-23;CLI-0064;EMP-504;ENT-MTL;BD-1054;3;432,72;7,10;262,94;Salon
CMD-102476;03/02/2025;10/02/2025;2025-03-18;CLI-0043;EMP-506;ENT-MTL;BD-1007;8;92,40;10,60;57,14;Représentant
CMD-103019;28-avr-25;01/05/2025;03/06/2025;CLI-0065;EMP-504;ENT-QC;BD-1059;2;505,31;4,20;331,76; 
CMD-103896;19/08/2025;2025-08-23;18/10/2025;CLI-0178;EMP-501;ENT-QC;BD-1139;2;341,86;4,70;203,11;Représentant
CMD-102925;16/04/2025;2025-04-25;07/06/2025;CLI-0141;EMP-502;ENT-QC;BD-1174;2;262,91;10,90;169,01;
CMD-105057;19/12/2025;2025-12-25;;CLI-0137;EMP-503;ENT-QC;BD-1157;25;38,95;25,60;25,21;Portail web
CMD-104385;03/10/2025;11/10/2025;03-déc-25;CLI-0076;EMP-507;ENT-SAG;BD-1148;6;355,52;22,70;302,28;Courriel
CMD-103180;16/05/2025;2025-05-19;26/06/2025;CLI-0047;EMP-508;ENT-QC;BD-1114;2;210,09;16,80;152,73;Téléphone
CMD-102610;04/03/2025;2025-03-09;06/05/2025;CLI-0089;EMP-502;ENT-QC;BD-1117;1;112,89;23,80;100,34;Portail web
CMD-104086;09-sept-25;16/09/2025;22/10/2025;CLI-0006;EMP-505;ENT-QC;BD-1107;3;198,11;10,10;150,54;Salon
CMD-102867;08/04/2025;13/04/2025;2025-06-05;CLI-0059;EMP-504;ENT-MTL;BD-1131;16;51,39;23,40;37,08;Téléphone
CMD-103171;16/05/2025;2025-05-25;08/07/2025;CLI-0105;EMP-502;ENT-QC;BD-1064;4;118,29;5,60;70,89;Téléphone
CMD-104628;24/10/2025;01/11/2025;;CLI-0141;EMP-502;ENT-QC;BD-1146;2;333,03;11,30;225,52;Courriel
CMD-103474;2025-06-21;23/06/2025;23/07/2025;CLI-0088;EMP-504;ENT-MTL;BD-1055;2;278,89;15,10;213,75;Représentant
CMD-102818;02/04/2025;2025-04-09;29/05/2025;CLI-0076;EMP-507;ENT-MTL;BD-1063;5;283,65;23,00;247,24;Représentant
CMD-104799;11/11/2025;20/11/2025;2025-12-28;CLI-0076;EMP-507;ENT-QC;BD-1151;8;127,97;19,50;92,25;Représentant
CMD-103036;30/04/2025;04/05/2025;02/06/2025;CLI-0093;EMP-508;ENT-QC;BD-1123;3;182,87;15,90;132,28;Téléphone
CMD-103882;18/08/2025;23/08/2025;06/10/2025;CLI-0115;EMP-509;ENT-QC;BD-1039;6;176,22;11,00;122,17;Téléphone
CMD-102527;14/02/2025;19/02/2025;2025-03-29;CLI-0057;EMP-507;ENT-MTL;BD-1179;8;369,57;14,40;231,35;Représentant
CMD-104722;2025-11-03;11/11/2025;;CLI-0169;EMP-507;ENT-QC;BD-1066;2;297,96;13,50;240,06;Courriel
CMD-103189;19/05/2025;25/05/2025;10/07/2025;CLI-0217;EMP-506;ENT-MTL;BD-1164;22;158,04;18,90;100,45;Salon
CMD-102668;12/03/2025;2025-03-21;01/05/2025;CLI-0158;EMP-507;ENT-QC;BD-1116;2;83,18;6,20;60,17;Représentant
CMD-103137;12/05/2025;14/05/2025;2025-06-30;CLI-0204;EMP-506;ENT-MTL;BD-1007;8;94,80;8,30;57,14;Représentant
CMD-104849;19/11/2025;2025-11-28;;CLI-0209;EMP-508;ENT-QC;BD-1172;7;329,31;21,30;221,22;Représentant
CMD-104786;11-nov-25;13/11/2025;06/12/2025;CLI-0049;EMP-508;ENT-MTL;BD-1069;2;332,30;16,70;239,15;Téléphone
CMD-102642;07/03/2025;10-mars-25;05/04/2025;CLI-0037;EMP-504;ENT-MTL;BD-1043;25;427,71;19,00;300,28;Portail web
CMD-102961;21/04/2025;29/04/2025;2025-06-12;CLI-0089;EMP-502;ENT-MTL;BD-1041;3;188,74;25,50;163,24;Salon
CMD-102720;19/03/2025;21/03/2025;2025-05-14;CLI-0001;EMP-508;ENT-MTL;BD-1042;6;418,44;5,20;267,02;Portail web
CMD-104090;09/09/2025;12/09/2025;03/11/2025;CLI-0037;EMP-504;ENT-QC;BD-1166;25;318,08;23,40;217,35;Représentant
CMD-104595;2025-10-22;27/10/2025;29/12/2025;CLI-0174;EMP-502;ENT-QC;BD-1072;4;385,82;2,50;236,88;Courriel
CMD-103044;30/04/2025;03-mai-25;05/07/2025;CLI-0017;EMP-507;ENT-MTL;BD-1113;2;370,47;13,20;281,81;Représentant
CMD-103895;19-août-25;26/08/2025;13/10/2025;CLI-0161;EMP-508;ENT-MTL;BD-1062;4;173,75;3,30;135,59;Portail web
CMD-102471;31/01/2025;04/02/2025;2025-04-04;CLI-0178;EMP-501;ENT-MTL;BD-1082;8;446,46;6,10;284,24;Portail web
CMD-104933;28/11/2025;07/12/2025;;CLI-0009;EMP-502;ENT-QC;BD-1130;12;440,39;22,00;323,89;Représentant
CMD-104904;25/11/2025;03/12/2025;;CLI-0133;EMP-508;ENT-MTL;BD-1171;6;132,25;16,50;85,46;Représentant
CMD-105054;19-déc-25;23/12/2025;;CLI-0182;EMP-503;ENT-QC;BD-1036;1;226,15;11,90;191,63;Téléphone
CMD-104410;06-oct-25;14/10/2025;27/11/2025;CLI-0084;EMP-503;ENT-QC;BD-1092;4;240,31;14,90;168,72;Courriel
CMD-102688;13-mars-25;18/03/2025;22/04/2025;CLI-0201;EMP-504;ENT-QC;BD-1180;3;175,91;7,10;95,30;Salon
CMD-104499;13/10/2025;15-oct-25;21/12/2025;CLI-0180;EMP-509;ENT-QC;BD-1132;24;189,66;4,50;128,45;Téléphone
CMD-103759;05/08/2025;07/08/2025;2025-09-09;CLI-0012;EMP-501;ENT-QC;BD-1007;18;80,77;21,80;57,14;Portail web
CMD-103262;27/05/2025;02/06/2025;2025-07-05;CLI-0179;EMP-509;ENT-QC;BD-1053;12;308,99;5,60;180,55;Téléphone
CMD-103213;21-mai-25;24/05/2025;12/07/2025;CLI-0211;EMP-504;ENT-MTL;BD-1009;2;93,85;10,80;67,67;Représentant
CMD-103199;19/05/2025;21/05/2025;2025-06-29;CLI-0050;EMP-502;ENT-MTL;BD-1177;4;338,59;16,90;215,66;Représentant
CMD-104823;14/11/2025;2025-11-23;;CLI-0098;EMP-509;ENT-SAG;BD-1108;24;251,02;8,10;169,96;Représentant
CMD-104368;02/10/2025;08/10/2025;06-déc-25;CLI-0031;EMP-509;ENT-MTL;BD-1103;8;196,10;13,90;154,84;Représentant
CMD-105082;23/12/2025;2025-12-28;;CLI-0066;EMP-507;ENT-QC;BD-1094;4;179,76;11,80;124,30;Portail web
CMD-104009;2025-09-01;09/09/2025;30/10/2025;CLI-0037;EMP-504;ENT-MTL;BD-1057;16;23,69;20,60;23,20;Représentant
CMD-103303;30/05/2025;08-juin-25;08/07/2025;CLI-0106;EMP-501;ENT-MTL;BD-1063;1;320,26;13,10;247,24;Portail web
CMD-103859;15/08/2025;2025-08-24;15/10/2025;CLI-0033;EMP-504;ENT-MTL;BD-1039;2;171,34;13,50;122,17;Représentant
CMD-103450;18-juin-25;25/06/2025;31/07/2025;CLI-0035;EMP-503;ENT-MTL;BD-1049;4;45,90;16,00;31,22;Représentant
CMD-102750;24/03/2025;26/03/2025;02-mai-25;CLI-0074;EMP-507;ENT-QC;BD-1175;16;133,49;21,40;96,85;Représentant
CMD-105036;2025-12-17;20/12/2025;;CLI-0014;EMP-502;ENT-MTL;BD-1073;12;410,12;8,80;307,22;Représentant
CMD-103491;24/06/2025;26/06/2025;2025-09-11;CLI-0116;EMP-509;ENT-MTL;BD-1003;8;260,87;12,50;227,23;Téléphone
CMD-104880;20/11/2025;23-nov-25;;CLI-0059;EMP-504;ENT-MTL;BD-1091;3;420,94;25,90;336,22;Courriel
CMD-102514;11/02/2025;18/02/2025;01-avr-25;CLI-0039;EMP-503;ENT-MTL;BD-1114;3;246,98;2,20;152,73;Représentant
CMD-102993;24/04/2025;30/04/2025;20-juin-25;CLI-0081;EMP-502;ENT-SAG;BD-1055;4;283,06;13,80;213,75;Téléphone
CMD-103641;2025-07-15;18/07/2025;13/08/2025;CLI-0183;EMP-506;ENT-QC;BD-1018;3;442,19;4,90;247,17;Représentant
CMD-104675;29/10/2025;04/11/2025;25/11/2025;CLI-0114;EMP-502;ENT-MTL;BD-1142;-2;153,64;5,80;100,93;Représentant
CMD-102906;14-avr-25;23/04/2025;17/05/2025;CLI-0037;EMP-504;ENT-QC;BD-1177;78;306,08;24,90;215,66;Téléphone
CMD-104300;26/09/2025;04/10/2025;16/11/2025;CLI-0014;EMP-502;ENT-QC;BD-1057;1;28,90;3,20;23,20;Téléphone
CMD-103965;2025-08-26;01/09/2025;17/10/2025;CLI-0036;EMP-505;ENT-MTL;BD-1171;2;134,21;15,20;85,46;Portail web
CMD-102824;02/04/2025;09/04/2025;2025-05-10;CLI-0076;EMP-507;ENT-QC;BD-1021;6;292,53;19,60;205,78;Téléphone
CMD-104862;2025-11-19;23/11/2025;;CLI-0056;EMP-502;ENT-MTL;BD-1142;5;128,79;21,00;100,93;Représentant
CMD-104834;17/11/2025;26/11/2025;;CLI-0205;EMP-505;ENT-MTL;BD-1169;1;558,15;3,20;282,28;Téléphone
CMD-104340;30/09/2025;07/10/2025;12/11/2025;CLI-0195;EMP-506;ENT-QC;BD-1047;24;88,92;16,60;71,53;Portail web
CMD-103848;14/08/2025;19/08/2025;2025-10-11;CLI-0080;EMP-506;ENT-MTL;BD-1034;6;204,07;14,10;182,99;Représentant
CMD-104892;22/11/2025;30/11/2025;;CLI-0116;EMP-509;ENT-SAG;BD-1097;8;319,12;13,30;253,06;Représentant
CMD-102649;10/03/2025;14-mars-25;06/05/2025;CLI-0123;EMP-501;ENT-MTL;BD-1045;4;111,79;14,70;78,37;Représentant
CMD-102327;01/01/2025;10-janv-25;04/02/2025;CLI-0012;EMP-501;ENT-QC;BD-1165;9;150,77;18,10;107,92;Salon
CMD-102402;16/01/2025;24/01/2025;27/02/2025;CLI-0067;EMP-502;ENT-MTL;BD-1163;2;512,83;16,40;300,77;Téléphone
CMD-103183;16/05/2025;22-mai-25;08/06/2025;CLI-0115;EMP-509;ENT-MTL;BD-1112;2;103,03;10,30;67,02;Représentant
CMD-104861;19/11/2025;21/11/2025;;CLI-0185;EMP-508;ENT-MTL;BD-1152;4;377,89;21,40;271,40;Représentant
CMD-104831;17/11/2025;2025-11-25;;CLI-0012;EMP-501;ENT-SAG;BD-1078;10;300,25;21,70;238,11;Courriel
CMD-102458;29/01/2025;31/01/2025;28/03/2025;CLI-0130;EMP-508;ENT-MTL;BD-1137;4;35,04;18,20;25,59;Téléphone
CMD-104492;13/10/2025;2025-10-22;30/11/2025;CLI-0061;EMP-503;ENT-SAG;BD-1088;12;553,85;12,10;404,63;Portail web
CMD-104904;25/11/2025;03/12/2025;;CLI-0133;EMP-508;ENT-MTL;BD-1076;6;468,65;16,50;338,68;Représentant
CMD-104240;22/09/2025;2025-09-26;18/10/2025;CLI-0057;EMP-507;ENT-SAG;BD-1103;8;198,33;12,90;154,84;Représentant
CMD-102418;21/01/2025;2025-01-24;23/03/2025;CLI-0065;EMP-504;ENT-MTL;BD-1147;8;547,20;8,50;346,92;Courriel
CMD-103104;08/05/2025;14/05/2025;;CLI-0037;EMP-504;ENT-MTL;BD-1017;2;447,89;20,60;313,71;Téléphone
CMD-103298;29/05/2025;06/06/2025;2025-07-29;CLI-0043;EMP-506;ENT-MTL;BD-1114;2;215,29;14,80;152,73;Représentant
CMD-103562;02-juil-25;09/07/2025;24/08/2025;CLI-0006;EMP-505;ENT-QC;BD-1022;6;379,87;16,40;298,47;Représentant
CMD-103991;30/08/2025;02-sept-25;09/10/2025;CLI-0209;EMP-508;ENT-QC;BD-1069;57;301,14;24,50;239,15;Représentant
CMD-103360;06-juin-25;10/06/2025;31/07/2025;CLI-0048;EMP-508;ENT-QC;BD-1014;6;38,86;13,00;27,18;Téléphone
CMD-104173;16/09/2025;20-sept-25;13/10/2025;CLI-0150;EMP-502;ENT-MTL;BD-1015;3;508,24;4,30;325,38;Représentant
CMD-103183;2025-05-16;22/05/2025;08/06/2025;CLI-0115;EMP-509;ENT-MTL;BD-1031;2;465,92;10,30;300,62;Portail web
CMD-105061;20/12/2025;2025-12-23;;CLI-0018;EMP-503;ENT-MTL;BD-1095;6;98,54;5,00;64,62;Courriel
CMD-102446;2025-01-27;04/02/2025;;CLI-0076;EMP-507;ENT-SAG;BD-1147;10;469,03;21,60;346,92;Représentant
CMD-104873;20/11/2025;28/11/2025;2025-12-20;CLI-0185;EMP-508;ENT-QC;BD-1140;19;47,42;25,40;41,26;Téléphone
CMD-103581;2025-07-04;12/07/2025;02/09/2025;CLI-0161;EMP-508;ENT-MTL;BD-1028;3;215,65;8,80;143,73;Téléphone
CMD-102333;02-janv-25;11/01/2025;16/02/2025;CLI-0011;EMP-507;ENT-QC;BD-1028;4;221,82;6,20;143,73;Représentant
CMD-104603;22-oct-25;25/10/2025;06/12/2025;CLI-0005;EMP-503;ENT-SAG;BD-1082;4;446,94;6,00;335,40;Représentant
CMD-103410;2025-06-13;18/06/2025;12/08/2025;CLI-0025;EMP-509;ENT-SAG;BD-1026;6;386,39;11,90;246,82;Représentant
CMD-104297;26/09/2025;28-sept-25;;CLI-0037;EMP-504;ENT-MTL;BD-1156;7;245,18;18,80;164,64;Représentant
CMD-102944;18/04/2025;2025-04-24;12/06/2025;CLI-0053;EMP-509;ENT-QC;BD-1017;4;504,95;10,40;313,71;Représentant
CMD-103590;2025-07-07;10/07/2025;;CLI-0063;EMP-503;ENT-QC;BD-1122;12;299,50;12,20;212,67;Téléphone
CMD-102889;11/04/2025;18/04/2025;2025-05-31;CLI-0033;EMP-504;ENT-SAG;BD-1098;2;373,38;15,30;262,51;Représentant
CMD-102680;13/03/2025;2025-03-17;02/05/2025;CLI-0026;EMP-506;ENT-QC;BD-1160;3;69,71;11,50;41,56;Courriel
CMD-102523;2025-02-13;18/02/2025;28/03/2025;CLI-0079;EMP-509;ENT-MTL;BD-1161;12;125,52;7,10;64,16;Portail web
CMD-103108;08/05/2025;17/05/2025;2025-07-10;CLI-0071;EMP-503;ENT-MTL;BD-1061;12;109,67;7,20;76,81;Téléphone
CMD-102736;21/03/2025;2025-03-30;09/05/2025;CLI-0012;EMP-501;ENT-MTL;BD-1146;46;285,35;24,00;225,52;Représentant
CMD-104088;09/09/2025;2025-09-15;17/11/2025;CLI-0126;EMP-502;ENT-MTL;BD-1092;8;252,14;10,70;168,72;Courriel
CMD-105058;2025-12-19;25/12/2025;;CLI-0137;EMP-503;ENT-QC;BD-1100;4;402,77;24,90;369,19;Représentant
CMD-102455;29/01/2025;07/02/2025;2025-03-21;CLI-0088;EMP-504;ENT-QC;BD-1154;3;465,73;12,90;329,92;Portail web
CMD-104641;27-oct-25;04/11/2025;18/12/2025;CLI-0205;EMP-505;ENT-QC;BD-1096;12;273,82;7,50;205,70;Téléphone
CMD-104105;10-sept-25;14/09/2025;25/10/2025;CLI-0009;EMP-502;ENT-MTL;BD-1081;7;470,66;20,60;364,83;Portail web
CMD-103418;13/06/2025;22/06/2025;23-juil-25;CLI-0148;EMP-501;ENT-SAG;BD-1138;2;129,80;11,90;88,19;Salon
CMD-103829;12/08/2025;2025-08-14;10/10/2025;CLI-0061;EMP-503;ENT-MTL;BD-1181;2;536,29;14,20;312,40;Téléphone
CMD-104432;08-oct-25;13/10/2025;02/11/2025;CLI-0057;EMP-507;ENT-MTL;BD-1124;3;221,43;13,20;153,77;Téléphone
CMD-103393;12/06/2025;2025-06-19;29/07/2025;CLI-0148;EMP-501;ENT-SAG;BD-1006;2;293,48;12,30;182,47;Téléphone
CMD-104387;03/10/2025;09/10/2025;07/12/2025;CLI-0012;EMP-501;ENT-QC;BD-1133;10;78,36;22,70;62,95;Téléphone
CMD-104037;03-sept-25;08/09/2025;28/10/2025;CLI-0031;EMP-509;ENT-MTL;BD-1058;4;212,62;13,20;149,54;Représentant
CMD-103551;01/07/2025;2025-07-06;17/09/2025;CLI-0012;EMP-501;ENT-QC;BD-1027;7;362,82;20,80;254,96;Courriel
CMD-104342;2025-09-30;03/10/2025;02/12/2025;CLI-0141;EMP-502;ENT-QC;BD-1099;6;431,13;13,20;346,57;Téléphone
CMD-104602;2025-10-22;26/10/2025;09/12/2025;CLI-0031;EMP-509;ENT-QC;BD-1084;4;501,44;13,60;375,89;Représentant
CMD-102355;07/01/2025;2025-01-13;01/03/2025;CLI-0079;EMP-509;ENT-MTL;BD-1128;6;141,18;2,50;78,87;Courriel
CMD-103953;2025-08-26;30/08/2025;29/09/2025;CLI-0026;EMP-506;ENT-SAG;BD-1002;1;407,91;12,90;298,72;Téléphone
CMD-104654;27/10/2025;02-nov-25;;CLI-0211;EMP-504;ENT-QC;BD-1074;3;170,91;12,00;130,44;Téléphone
CMD-102709;17/03/2025;20/03/2025;12/05/2025;CLI-0074;EMP-507;ENT-SAG;BD-1010;2;124,83;23,40;88,91;Téléphone
CMD-104024;02/09/2025;08/09/2025;11/10/2025;CLI-0220;EMP-506;ENT-QC;BD-1059;3;451,25;14,40;391,48;Téléphone
CMD-103720;2025-07-30;05/08/2025;14/09/2025;CLI-0217;EMP-506;ENT-QC;BD-1119;9;70,48;23,20;59,67;Représentant
CMD-103237;23/05/2025;26/05/2025;2025-08-18;CLI-0132;EMP-507;ENT-MTL;BD-1107;6;187,95;14,70;150,54;Courriel
CMD-102352;07/01/2025;2025-01-11;07/02/2025;CLI-0137;EMP-503;ENT-MTL;BD-1173;2;317,23;20,40;212,35;Portail web
CMD-102847;05/04/2025;2025-04-08;21/05/2025;CLI-0143;EMP-503;ENT-SAG;BD-1051;24;114,48;11,70;79,76;Représentant
CMD-102374;10/01/2025;15/01/2025;2025-03-12;CLI-0209;EMP-508;ENT-QC;BD-1148;13;372,52;19,00;302,28;Représentant
CMD-104667;28-oct-25;05/11/2025;09/12/2025;CLI-0056;EMP-502;ENT-MTL;BD-1166;2;319,72;23,00;217,35;Téléphone
CMD-104598;22-oct-25;25/10/2025;15/12/2025;CLI-0083;EMP-507;ENT-QC;BD-1145;2;170,38;7,50;111,12;Représentant
CMD-102779;28/03/2025;2025-04-04;26/04/2025;CLI-0209;EMP-508;ENT-MTL;BD-1084;8;469,56;19,10;318,55;Téléphone
CMD-103373;10/06/2025;14-juin-25;10/07/2025;CLI-0005;EMP-503;ENT-QC;BD-1030;4;174,98;4,40;119,13;Portail web
CMD-103024;2025-04-29;02/05/2025;21/06/2025;CLI-0144;EMP-502;ENT-SAG;BD-1039;6;167,99;15,10;122,17;Représentant
CMD-104580;21/10/2025;23-oct-25;17/12/2025;CLI-0106;EMP-501;ENT-SAG;BD-1137;8;35,84;16,30;25,59;Représentant
CMD-102705;17/03/2025;24/03/2025;;CLI-0218;EMP-503;ENT-MTL;BD-1181;6;586,98;6,10;312,40;Portail web
CMD-104872;2025-11-20;25/11/2025;;CLI-0092;EMP-508;ENT-MTL;BD-1079;2;254,73;3,40;147,87;Téléphone
CMD-103828;12/08/2025;15/08/2025;21/10/2025;CLI-0089;EMP-502;ENT-QC;BD-1003;12;225,87;24,30;227,23;Représentant
CMD-105031;16-déc-25;25/12/2025;;CLI-0160;EMP-508;ENT-QC;BD-1095;1;96,71;6,70;64,62;Téléphone
CMD-102395;16/01/2025;23/01/2025;24-févr-25;CLI-0134;EMP-509;ENT-MTL;BD-1167;3;354,76;4,40;209,73;Téléphone
CMD-103742;01/08/2025;03/08/2025;13/09/2025;CLI-0130;EMP-508;ENT-MTL;BD-1162;4;108,12;21,10;68,38;Portail web
CMD-103873;16/08/2025;18/08/2025;09-oct-25;CLI-0031;EMP-509;ENT-MTL;BD-1062;12;158,32;11,90;135,59;Téléphone
CMD-104765;06/11/2025;2025-11-11;27/12/2025;CLI-0155;EMP-506;ENT-MTL;BD-1010;4;141,01;13,50;88,91;Représentant
CMD-102530;14/02/2025;23/02/2025;2025-03-24;CLI-0148;EMP-501;ENT-MTL;BD-1008;4;209,05;10,60;131,65;Représentant
CMD-102348;2025-01-07;11/01/2025;08/02/2025;CLI-0112;EMP-505;ENT-QC;BD-1156;6;268,24;11,20;164,64;Représentant
CMD-103799;08/08/2025;11-août-25;23/09/2025;CLI-0137;EMP-503;ENT-MTL;BD-1179;4;331,09;23,30;231,35;Courriel
CMD-103992;30/08/2025;03/09/2025;2025-10-12;CLI-0130;EMP-508;ENT-QC;BD-1126;10;151,19;25,30;133,03;Salon
CMD-104606;23/10/2025;2025-10-31;29/12/2025;CLI-0209;EMP-508;ENT-QC;BD-1174;29;222,11;24,70;169,01;Téléphone
CMD-104029;03/09/2025;08/09/2025;05-nov-25;CLI-0103;EMP-502;ENT-QC;BD-1061;24;114,22;3,30;76,81;Représentant
CMD-104087;09/09/2025;17/09/2025;08/11/2025;CLI-0037;EMP-504;ENT-QC;BD-1072;13;313,58;20,80;236,88;Courriel
CMD-104162;15/09/2025;17/09/2025;2025-10-23;CLI-0072;EMP-501;ENT-SAG;BD-1040;6;390,29;11,40;274,41;Représentant
CMD-103463;19/06/2025;26/06/2025;2025-08-06;CLI-0150;EMP-502;ENT-QC;BD-1011;6;510,15;2,90;294,52;Portail web
CMD-104275;24/09/2025;01-oct-25;26/12/2025;CLI-0141;EMP-502;ENT-MTL;BD-1095;2;88,83;14,30;64,62;Représentant
CMD-104045;04/09/2025;2025-09-12;29/10/2025;CLI-0130;EMP-508;ENT-QC;BD-1106;26;400,52;24,50;340,08;Représentant
CMD-103068;03/05/2025;07/05/2025;2025-06-07;CLI-0146;EMP-503;ENT-QC;BD-1010;2;137,94;15,40;88,91;Portail web
CMD-105072;23/12/2025;29/12/2025;;CLI-0147;EMP-506;ENT-QC;BD-1169;4;532,81;7,60;282,28;Représentant
CMD-104073;08/09/2025;17-sept-25;;CLI-0147;EMP-506;ENT-MTL;BD-1135;8;68,20;7,00;40,73;Représentant
CMD-103765;05/08/2025;08/08/2025;2025-10-05;CLI-0115;EMP-509;ENT-MTL;BD-1064;3;111,03;11,40;70,89;Représentant
CMD-103323;02/06/2025;06/06/2025;2025-07-16;CLI-0024;EMP-504;ENT-QC;BD-1158;12;333,67;4,50;184,61;Portail web
CMD-103045;30-avr-25;03/05/2025;16/06/2025;CLI-0029;EMP-506;ENT-SAG;BD-1099;9;375,57;24,40;293,70;Représentant
CMD-104553;2025-10-17;24/10/2025;14/12/2025;CLI-0059;EMP-504;ENT-MTL;BD-1141;8;403,64;19,10;314,24;Téléphone
CMD-103399;12/06/2025;15/06/2025;08-août-25;CLI-0055;EMP-506;ENT-QC;BD-1116;8;84,53;4,70;60,17;Représentant
CMD-104197;17/09/2025;19/09/2025;14-nov-25;CLI-0181;EMP-504;ENT-MTL;BD-1175;1;166,14;2,10;96,85;Courriel
CMD-103709;28/07/2025;01-août-25;12/09/2025;CLI-0076;EMP-507;ENT-SAG;BD-1055;12;256,67;21,80;213,75;Représentant
CMD-102578;25/02/2025;2025-03-04;09/04/2025;CLI-0044;EMP-505;ENT-SAG;BD-1024;1;288,84;13,60;189,35;Téléphone
CMD-103334;03/06/2025;10-juin-25;01/08/2025;CLI-0147;EMP-506;ENT-SAG;BD-1125;3;429,35;2,40;291,24;Téléphone
CMD-102836;04-avr-25;11/04/2025;13/05/2025;CLI-0202;EMP-504;ENT-QC;BD-1037;12;28,95;3,20;16,65;Représentant
CMD-102657;2025-03-11;17/03/2025;20/04/2025;CLI-0128;EMP-502;ENT-MTL;BD-1176;4;565,03;10,40;328,78;Portail web
